// The next line is the dfg name
interpolate_aux_dfg__12_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 34
0 21 0
1 6 6
2 18 1
3 20 1
4 22 1
5 23 1
6 6 5
7 17 0
8 13 2
9 19 2
10 22 0
11 23 0
12 7 9
13 17 1
14 18 0
15 19 1
16 22 2
17 25 0
18 26 0
19 27 0
20 28 2
21 13 3
22 6 1
23 1 7
24 13 9
25 25 3
26 31 0
27 9 1
28 8 0
29 10 2
30 13 0
31 16 4
32 25 2
33 1 6
34 3 1
35 1 4
36 7 8
37 15 0
38 16 2
39 4 3
40 4 0
41 1 3
42 5 0
43 7 0
44 13 8
45 19 3
46 22 3
47 28 1
48 19 7
49 21 1
50 11 5
51 24 0
52 28 3
53 31 1
54 11 0
55 8 1
56 9 0
57 11 1
58 12 1
59 13 6
60 3 0
61 1 0
62 1 1
63 6 4
64 13 7
65 19 0
66 7 1
67 5 1
68 6 0
69 7 3
70 10 1
71 12 0
72 20 0
73 21 4
74 31 2
75 16 3
76 24 1
77 25 1
78 27 1
79 29 0
80 34 0
81 2 1
82 1 2
83 2 0
84 4 2
85 7 7
86 19 8
87 14 0
88 1 8
89 13 1
90 14 1
91 15 1
92 16 0
93 4 1
94 1 5
95 7 2
96 10 0
97 11 4
98 16 1
99 18 6
100 26 1
101 29 1
102 28 0
103 1 9
104 10 3
105 16 5
106 30 0
107 32 0
