// The next line is the dfg name
interpolate_aux_dfg__12_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 58
0 13 0
1 19 7
2 12 0
3 28 2
4 34 1
5 37 0
6 13 8
7 3 0
8 6 5
9 11 5
10 19 0
11 21 4
12 13 7
13 4 0
14 16 2
15 19 2
16 26 3
17 31 2
18 34 0
19 35 0
20 42 3
21 21 5
22 5 0
23 19 6
24 31 8
25 37 5
26 47 3
27 9 0
28 8 0
29 16 4
30 21 0
31 37 8
32 43 5
33 7 8
34 1 5
35 1 6
36 7 7
37 22 2
38 26 4
39 11 4
40 4 2
41 6 4
42 13 2
43 16 1
44 31 6
45 37 3
46 42 4
47 48 0
48 43 7
49 14 0
50 31 7
51 37 4
52 49 4
53 54 1
54 2 0
55 7 1
56 7 2
57 10 0
58 11 0
59 25 6
60 1 0
61 1 3
62 1 1
63 7 6
64 13 6
65 19 1
66 4 1
67 1 4
68 1 2
69 6 3
70 13 1
71 16 0
72 22 1
73 25 7
74 43 6
75 21 3
76 25 1
77 25 2
78 28 1
79 31 3
80 49 8
81 6 0
82 11 3
83 10 1
84 16 3
85 37 6
86 49 6
87 15 0
88 19 8
89 16 5
90 25 0
91 26 0
92 27 0
93 10 2
94 1 7
95 1 8
96 7 0
97 25 8
98 31 1
99 43 8
100 49 1
101 55 2
102 34 2
103 37 7
104 26 5
105 49 7
106 55 0
107 58 0
