// The next line is the dfg name
invert_matrix_general_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 73
0 46 5
1 42 1
2 44 1
3 45 0
4 49 2
5 50 2
6 27 2
7 41 7
8 46 4
9 49 1
10 50 1
11 22 2
12 31 4
13 36 8
14 49 11
15 55 3
16 28 0
17 46 8
18 51 2
19 52 4
20 56 2
21 34 5
22 38 0
23 40 5
24 43 1
25 13 11
26 19 2
27 20 1
28 21 7
29 46 3
30 55 10
31 61 2
32 62 2
33 63 2
34 64 2
35 65 1
36 66 2
37 37 3
38 51 8
39 67 2
40 21 1
41 28 4
42 43 10
43 49 0
44 16 3
45 19 4
46 22 4
47 25 4
48 50 0
49 29 2
50 30 1
51 32 1
52 33 0
53 51 1
54 56 6
55 42 2
56 44 2
57 61 4
58 11 6
59 16 1
60 19 11
61 25 3
62 23 1
63 24 1
64 25 2
65 26 1
66 31 7
67 35 2
68 36 1
69 38 1
70 39 0
71 40 0
72 41 0
73 51 6
74 56 8
75 61 11
76 67 1
77 31 5
78 34 0
79 35 0
80 36 0
81 1 11
82 7 10
83 13 1
84 16 7
85 37 0
86 28 1
87 29 0
88 30 0
89 32 0
90 40 3
91 49 4
92 36 2
93 61 10
94 67 6
95 3 2
96 5 1
97 10 3
98 11 7
99 16 2
100 17 1
101 19 3
102 1 4
103 4 2
104 5 0
105 1 7
106 6 6
107 11 0
108 13 9
109 25 9
110 1 9
111 7 9
112 13 0
113 1 6
114 6 0
115 7 0
116 19 9
117 1 1
118 4 3
119 7 1
120 2 0
121 3 0
122 4 0
123 8 0
124 26 6
125 1 0
126 6 8
127 13 4
128 1 2
129 2 1
130 7 11
131 16 0
132 1 10
133 7 4
134 10 1
135 11 2
136 12 0
137 14 0
138 15 0
139 17 0
140 1 8
141 7 3
142 10 0
143 9 1
144 10 2
145 11 1
146 16 6
147 6 7
148 13 3
149 19 10
150 2 2
151 4 4
152 13 10
153 25 0
154 28 3
155 14 2
156 15 2
157 18 1
158 18 2
159 20 2
160 21 0
161 31 10
162 23 2
163 24 2
164 26 2
165 9 2
166 16 5
167 21 6
168 27 0
169 37 2
170 5 2
171 6 1
172 7 2
173 6 2
174 8 1
175 9 0
176 10 5
177 12 2
178 14 1
179 15 1
180 8 2
181 13 5
182 17 2
183 18 0
184 19 0
185 21 2
186 31 11
187 37 10
188 43 4
189 34 4
190 41 8
191 46 1
192 47 0
193 48 0
194 33 2
195 49 5
196 52 1
197 53 0
198 54 0
199 55 2
200 55 11
201 65 2
202 66 3
203 21 8
204 26 0
205 27 1
206 41 6
207 39 2
208 41 1
209 42 0
210 43 2
211 46 0
212 34 1
213 35 1
214 55 4
215 58 0
216 59 0
217 60 0
218 61 3
219 46 2
220 48 1
221 64 0
222 22 0
223 31 3
224 34 3
225 37 1
226 1 5
227 4 5
228 10 4
229 22 3
230 40 4
231 22 5
232 25 1
233 26 7
234 31 6
235 43 3
236 49 3
237 45 2
238 47 2
239 52 0
240 16 4
241 19 1
242 20 0
243 25 10
244 1 3
245 4 1
246 7 5
247 31 9
248 37 9
249 23 0
250 24 0
251 26 8
252 31 0
253 46 6
254 52 3
255 55 0
256 34 2
257 61 7
258 66 0
259 28 5
260 31 2
261 36 7
262 43 9
263 43 11
264 49 9
265 56 0
266 58 3
267 61 0
268 38 2
269 39 1
270 40 2
271 43 5
272 62 0
273 63 1
274 64 1
275 41 2
276 58 4
277 65 0
278 55 5
279 58 1
280 59 1
281 60 1
282 30 2
283 32 2
284 56 7
285 68 0
286 69 1
287 33 1
288 37 5
289 52 5
290 55 1
291 70 0
292 71 0
293 45 1
294 47 1
295 72 0
296 3 1
297 11 8
298 16 8
299 31 1
300 12 1
301 13 2
302 19 5
303 25 11
304 36 6
305 25 5
306 31 8
307 37 11
308 43 0
309 44 0
310 46 7
311 51 0
312 58 5
313 68 1
314 69 0
315 28 2
316 29 1
317 37 4
318 40 1
319 22 1
320 49 10
321 56 1
322 61 6
323 66 1
324 55 9
325 61 1
326 62 1
327 63 0
328 67 0
329 68 4
330 51 7
331 61 9
332 71 3
