// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 46
0 1 4
1 6 1
2 7 2
3 8 1
4 9 0
5 10 0
6 13 2
7 1 5
8 14 1
9 16 3
10 5 1
11 6 0
12 7 7
13 20 0
14 1 3
15 7 0
16 8 0
17 1 1
18 6 5
19 11 0
20 12 0
21 7 3
22 11 1
23 12 1
24 7 1
25 10 2
26 13 0
27 16 2
28 2 1
29 11 4
30 16 0
31 1 2
32 4 2
33 11 5
34 17 0
35 3 1
36 4 1
37 7 6
38 10 1
39 13 3
40 17 1
41 23 5
42 3 0
43 4 0
44 5 0
45 1 0
46 2 0
47 6 4
48 13 6
49 4 3
50 9 1
51 10 3
52 13 1
53 14 0
54 15 0
55 16 1
56 20 1
57 19 0
58 19 6
59 18 5
60 25 0
61 31 6
62 37 0
63 18 0
64 26 4
65 39 2
66 25 3
67 30 1
68 36 4
69 1 6
70 13 7
71 41 1
72 23 0
73 25 2
74 21 4
75 28 2
76 31 0
77 34 5
78 21 1
79 22 3
80 39 3
81 23 1
82 37 6
83 43 0
84 44 0
85 22 0
86 28 3
87 45 0
88 22 2
89 29 0
90 19 1
91 28 1
92 31 2
93 34 0
94 18 1
95 31 7
96 19 2
97 21 0
98 28 0
99 30 0
100 25 6
101 31 1
102 35 0
103 35 1
104 29 1
105 36 0
106 39 5
107 44 1
108 15 1
109 19 7
110 45 1
111 37 1
112 38 0
113 40 0
114 41 0
115 22 1
116 24 0
117 42 0
118 31 4
119 36 3
120 39 1
121 40 1
122 19 3
123 24 1
124 42 1
125 29 5
126 36 2
127 39 0
128 42 2
129 16 4
130 25 1
131 46 0
132 1 7
133 25 7
