// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 3 3 5
SQRT 3 3 6
actual latency 60
0 1 3
1 6 0
2 11 3
3 19 6
4 1 0
5 7 7
6 16 3
7 21 0
8 7 8
9 13 0
10 16 1
11 21 3
12 2 0
13 4 1
14 19 7
15 25 1
16 4 2
17 16 4
18 21 4
19 26 5
20 4 0
21 5 0
22 7 0
23 37 7
24 44 0
25 7 2
26 10 2
27 13 1
28 37 8
29 49 7
30 1 5
31 13 2
32 43 7
33 49 3
34 55 0
35 16 5
36 49 8
37 56 0
38 57 0
39 1 1
40 13 7
41 19 1
42 25 0
43 1 2
44 7 1
45 10 0
46 22 1
47 31 6
48 3 0
49 6 3
50 25 6
51 31 0
52 37 5
53 8 0
54 9 0
55 31 5
56 36 0
57 49 6
58 31 4
59 43 8
60 50 0
61 55 1
62 1 6
63 7 6
64 13 6
65 26 3
66 1 7
67 11 4
68 16 0
69 26 4
70 31 3
71 10 1
72 14 0
73 16 2
74 28 1
75 36 1
76 13 8
77 19 2
78 22 2
79 31 8
80 41 3
81 6 5
82 21 5
83 36 4
84 55 6
85 1 4
86 6 4
87 37 6
88 43 0
89 31 7
90 37 0
91 38 2
92 41 1
93 44 1
94 1 8
95 11 5
96 25 7
97 43 6
98 49 0
99 19 8
100 25 8
101 36 3
102 41 2
103 50 1
104 11 0
105 25 2
106 28 0
107 53 4
108 28 2
