// The next line is the dfg name
random1_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 6 6 3
DIV 11 11 5
SQRT 12 12 6
actual latency 102
0 1 2
1 4 2
2 7 2
3 10 2
4 10 1
5 10 0
6 11 22
7 17 0
8 13 0
9 14 24
10 20 13
11 20 2
12 23 22
13 23 21
14 29 6
15 31 1
16 29 0
17 70 1
18 11 0
19 11 4
20 11 1
21 11 21
22 58 17
23 29 21
24 33 18
25 29 9
26 32 10
27 32 11
28 75 2
29 14 9
30 14 4
31 14 25
32 14 26
33 14 2
34 14 27
35 14 3
36 14 28
37 53 17
38 85 0
39 32 1
40 17 10
41 90 29
42 86 0
43 87 1
44 86 5
45 94 21
46 89 23
47 86 1
48 86 30
49 11 3
50 25 3
51 25 4
52 25 0
53 25 5
54 33 15
55 73 0
56 34 9
57 34 27
58 39 9
59 35 13
60 53 0
61 36 2
62 62 11
63 56 6
64 47 7
65 67 20
66 47 14
67 17 29
68 17 22
69 17 30
70 17 2
71 17 1
72 17 11
73 17 3
74 42 2
75 37 0
76 54 9
77 55 19
78 57 11
79 55 4
80 54 30
81 55 13
82 57 10
83 54 20
84 60 2
85 19 0
86 59 9
87 59 21
88 95 11
89 95 0
90 77 1
91 96 23
92 20 3
93 44 9
94 39 1
95 18 5
96 65 6
97 74 13
98 64 0
99 39 24
100 38 15
101 39 2
102 58 5
103 38 16
104 67 0
105 52 5
106 18 1
107 41 29
108 73 5
109 71 9
110 71 29
111 71 12
112 74 6
113 71 0
114 75 0
115 75 1
116 71 27
117 92 3
118 62 10
119 23 16
120 23 17
121 23 0
122 23 29
123 23 1
124 23 18
125 23 30
126 78 30
127 45 0
128 46 5
129 45 13
130 45 24
131 78 28
132 78 12
133 82 0
134 78 15
135 78 0
136 78 14
137 78 2
138 78 1
139 78 29
140 62 8
141 24 0
142 53 28
143 26 0
144 62 1
145 83 24
146 77 7
147 83 12
148 18 0
149 24 20
150 83 0
151 95 22
152 83 22
153 62 19
154 76 4
155 19 19
156 96 24
157 76 22
158 76 3
159 76 0
160 76 1
161 76 23
162 68 11
163 40 4
164 40 5
165 40 0
166 19 23
167 19 9
168 49 3
169 52 11
170 49 9
171 52 12
172 52 14
173 51 1
174 49 4
175 49 0
176 49 5
177 54 0
178 54 1
179 55 0
180 55 1
181 56 0
182 55 3
183 72 10
184 91 20
185 92 9
186 92 30
187 50 13
188 50 6
189 52 8
190 52 10
191 81 1
192 43 3
193 37 1
194 79 13
195 79 0
196 79 20
197 79 1
198 79 3
199 80 0
200 80 1
201 85 2
202 1 19
203 7 8
204 12 8
205 12 0
206 17 21
207 23 28
208 23 15
209 29 28
210 62 14
211 32 8
212 67 5
213 32 12
214 29 1
215 84 1
216 29 22
217 37 23
218 43 4
219 64 4
220 37 10
221 71 1
222 40 1
223 72 1
224 56 7
225 17 8
226 67 3
227 67 8
228 44 1
229 45 1
230 37 11
231 47 29
232 53 1
233 22 27
234 22 6
235 22 10
236 22 11
237 22 12
238 22 0
239 22 26
240 22 14
241 22 8
242 32 0
243 28 3
244 28 5
245 67 24
246 57 1
247 55 23
248 66 1
249 55 5
250 59 0
251 54 2
252 59 1
253 74 7
254 58 4
255 72 8
256 28 26
257 28 27
258 27 0
259 27 24
260 27 1
261 27 8
262 29 7
263 28 0
264 27 10
265 29 29
266 76 5
267 28 1
268 30 1
269 27 11
270 77 25
271 77 6
272 77 9
273 77 8
274 77 26
275 77 24
276 77 27
277 77 10
278 24 9
279 83 11
280 83 3
281 31 5
282 58 18
283 47 11
284 35 21
285 34 0
286 73 1
287 34 1
288 34 4
289 37 8
290 82 8
291 82 9
292 82 10
293 82 21
294 82 19
295 82 2
296 57 0
297 87 0
298 87 8
299 87 9
300 72 2
301 79 16
302 74 0
303 74 1
304 74 19
305 17 12
306 67 4
307 87 6
308 43 23
309 43 16
310 45 25
311 46 26
312 43 17
313 42 14
314 46 27
315 42 1
316 32 6
317 27 2
318 60 13
319 72 0
320 64 5
321 59 6
322 59 24
323 66 2
324 59 7
325 41 1
326 43 18
327 43 1
328 47 21
329 44 0
330 47 22
331 73 21
332 73 11
333 48 2
334 48 0
335 48 15
336 48 16
337 48 1
338 49 19
339 49 23
340 84 28
341 85 20
342 88 12
343 88 0
344 88 2
345 67 10
346 83 14
347 83 4
348 92 10
349 71 6
350 70 5
351 71 7
352 70 26
353 27 12
354 73 20
355 97 20
356 97 0
357 97 8
358 97 1
359 37 3
360 35 28
