// The next line is the dfg name
random2_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 6 6 1
MUL 7 7 3
DIV 7 7 5
SQRT 7 7 6
actual latency 65
0 1 1
1 2 0
2 2 1
3 3 20
4 3 1
5 3 2
6 3 3
7 3 0
8 4 23
9 4 0
10 4 5
11 4 4
12 8 5
13 4 1
14 4 2
15 4 22
16 9 2
17 5 8
18 5 1
19 5 11
20 11 26
21 5 0
22 5 15
23 5 7
24 5 2
25 6 1
26 6 3
27 6 16
28 9 20
29 6 0
30 5 3
31 7 6
32 10 2
33 10 19
34 6 4
35 55 3
36 11 25
37 11 24
38 11 3
39 11 1
40 11 0
41 9 3
42 11 7
43 17 0
44 4 6
45 10 10
46 11 16
47 5 25
48 5 4
49 6 5
50 7 4
51 9 13
52 22 21
53 18 1
54 18 0
55 18 8
56 4 3
57 16 10
58 19 0
59 49 13
60 19 6
61 19 10
62 10 21
63 46 16
64 17 2
65 17 7
66 17 3
67 17 1
68 18 9
69 19 13
70 51 5
71 19 5
72 5 9
73 12 4
74 12 2
75 16 21
76 12 5
77 22 22
78 22 0
79 13 4
80 19 2
81 16 22
82 53 4
83 13 6
84 53 5
85 54 3
86 12 0
87 54 4
88 12 1
89 17 26
90 11 4
91 7 5
92 17 24
93 53 1
94 20 5
95 52 4
96 20 7
97 52 5
98 20 11
99 20 4
100 13 2
101 13 10
102 13 17
103 21 3
104 20 19
105 19 3
106 16 23
107 19 4
108 17 25
109 52 0
110 57 0
111 7 0
112 7 1
113 8 8
114 10 22
115 7 2
116 10 23
117 10 1
118 10 3
119 20 14
120 10 11
121 47 11
122 39 5
123 39 2
124 45 4
125 45 5
126 41 4
127 11 8
128 44 12
129 45 9
130 41 5
131 40 5
132 42 3
133 42 4
134 41 21
135 42 5
136 17 4
137 20 12
138 48 9
139 21 2
140 45 19
141 21 16
142 16 0
143 16 16
144 16 1
145 16 2
146 18 17
147 13 11
148 13 1
149 13 0
150 13 5
151 13 18
152 15 19
153 14 5
154 56 5
155 14 0
156 14 13
157 14 1
158 14 2
159 14 7
160 8 17
161 43 1
162 58 2
163 22 3
164 50 1
165 50 2
166 23 1
167 23 17
168 23 2
169 23 3
170 23 11
171 23 4
172 23 5
173 46 5
174 23 7
175 23 23
176 23 24
177 23 0
178 23 25
179 45 15
180 53 0
181 14 3
182 57 20
183 41 16
184 43 2
185 28 18
186 57 7
187 26 0
188 26 1
189 27 8
190 27 9
191 26 2
192 26 3
193 54 0
194 17 5
195 18 2
196 18 3
197 18 4
198 18 5
199 19 1
200 30 19
201 8 1
202 8 2
203 8 7
204 8 18
205 1 6
206 4 13
207 9 9
208 9 4
209 4 21
210 54 5
211 10 15
212 10 4
213 10 5
214 15 0
215 15 20
216 55 4
217 15 1
218 20 15
219 57 2
220 21 8
221 21 4
222 24 5
223 27 2
224 24 8
225 24 2
226 24 0
227 24 1
228 27 4
229 27 5
230 43 3
231 25 0
232 25 2
233 25 1
234 25 3
235 38 11
236 27 20
237 26 7
