// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 47
0 29 2
1 8 2
2 7 2
3 6 0
4 7 3
5 10 0
6 11 0
7 16 7
8 13 11
9 10 5
10 6 1
11 11 7
12 16 1
13 19 3
14 22 0
15 23 0
16 24 0
17 1 2
18 1 1
19 1 9
20 7 0
21 8 0
22 9 0
23 13 9
24 1 11
25 1 10
26 2 0
27 3 0
28 11 6
29 16 0
30 17 0
31 19 9
32 25 10
33 9 2
34 11 8
35 37 9
36 18 0
37 19 1
38 31 7
39 43 4
40 46 0
41 47 0
42 21 7
43 26 8
44 31 1
45 26 2
46 28 2
47 29 3
48 32 1
49 33 0
50 11 2
51 11 1
52 7 4
53 10 1
54 12 0
55 13 3
56 16 4
57 15 2
58 15 1
59 1 5
60 19 10
61 25 3
62 28 0
63 29 0
64 31 6
65 36 4
66 6 7
67 10 4
68 7 5
69 10 2
70 13 2
71 14 1
72 16 8
73 12 1
74 4 2
75 4 1
76 5 1
77 13 10
78 21 6
79 26 0
80 27 5
81 30 0
82 23 2
83 24 5
84 39 3
85 13 5
86 20 0
87 31 8
88 42 0
89 43 1
90 44 0
91 26 6
92 31 5
93 34 1
94 26 7
95 31 2
96 39 1
97 40 0
98 41 2
99 21 2
100 18 2
101 6 8
102 18 1
103 19 5
104 23 1
105 24 1
106 22 3
107 21 0
108 20 2
109 21 1
110 22 2
111 25 0
112 26 1
113 27 0
114 28 1
115 19 2
116 17 2
117 16 2
118 17 1
119 19 4
120 22 1
121 23 4
122 4 5
123 3 2
124 2 2
125 4 3
126 7 11
127 25 11
128 31 4
129 34 0
130 35 3
131 25 1
132 27 1
133 29 1
134 25 2
135 27 2
136 38 0
137 39 0
138 40 5
139 43 2
140 24 2
141 26 4
142 38 2
143 31 9
144 37 5
145 40 4
146 43 0
147 44 5
148 1 4
149 2 1
150 1 3
151 4 0
152 5 0
153 6 6
154 19 11
155 5 2
156 1 6
157 1 0
158 7 9
159 16 6
160 25 9
161 31 0
162 32 0
163 36 6
164 1 8
165 7 1
166 1 7
167 6 2
168 8 1
169 10 3
170 13 1
171 9 1
172 4 4
173 3 1
174 7 10
175 13 0
176 14 0
177 15 0
178 16 3
179 19 0
180 13 4
181 21 8
182 41 1
183 31 11
184 37 0
185 38 1
186 42 3
187 45 0
188 46 1
189 12 2
190 14 2
191 31 10
192 16 5
193 20 1
194 41 0
195 42 6
196 47 1
