// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 4 4 6
actual latency 83
0 31 6
1 3 0
2 4 2
3 4 1
4 11 3
5 16 1
6 19 1
7 25 7
8 7 10
9 1 6
10 1 2
11 7 9
12 13 1
13 16 4
14 25 1
15 31 1
16 34 1
17 2 0
18 1 0
19 1 8
20 7 1
21 10 0
22 11 0
23 13 7
24 1 9
25 1 7
26 1 1
27 4 0
28 7 7
29 16 3
30 21 3
31 31 7
32 37 7
33 16 6
34 31 10
35 37 10
36 13 0
37 14 0
38 43 8
39 49 9
40 55 6
41 67 10
42 55 10
43 67 7
44 75 1
45 23 0
46 58 2
47 61 5
48 78 1
49 81 1
50 22 2
51 11 6
52 6 6
53 22 1
54 25 0
55 26 4
56 31 3
57 18 0
58 31 2
59 6 4
60 25 9
61 36 3
62 41 0
63 42 0
64 49 10
65 57 3
66 37 8
67 21 6
68 11 5
69 21 5
70 40 1
71 43 0
72 49 8
73 15 0
74 19 2
75 10 1
76 16 2
77 31 8
78 43 9
79 49 2
80 55 5
81 65 0
82 22 0
83 31 5
84 62 3
85 26 6
86 31 0
87 67 9
88 73 0
89 75 2
90 81 2
91 61 10
92 67 3
93 72 1
94 61 9
95 67 5
96 72 2
97 78 2
98 81 0
99 40 2
100 17 0
101 31 9
102 38 0
103 39 4
104 52 1
105 55 2
106 26 5
107 55 1
108 52 2
109 55 0
110 58 0
111 59 0
112 60 0
113 61 0
114 62 0
115 12 0
116 9 0
117 7 2
118 10 2
119 16 5
120 37 2
121 40 6
122 19 7
123 1 5
124 1 3
125 7 8
126 13 8
127 25 8
128 31 4
129 46 2
130 49 4
131 43 2
132 46 3
133 63 0
134 20 0
135 21 0
136 58 1
137 65 4
138 73 7
139 79 0
140 49 1
141 52 3
142 60 4
143 49 7
144 55 4
145 63 6
146 70 0
147 73 8
148 6 5
149 8 0
150 6 3
151 13 2
152 16 0
153 25 10
154 43 7
155 28 2
156 13 10
157 1 4
158 13 9
159 19 10
160 37 9
161 44 0
162 49 0
163 55 8
164 19 8
165 5 0
166 1 10
167 7 0
168 11 4
169 26 3
170 37 1
171 25 2
172 21 4
173 6 0
174 19 9
175 28 1
176 34 2
177 37 0
178 40 5
179 46 1
180 43 10
181 61 8
182 68 0
183 61 7
184 67 0
185 69 0
186 70 4
187 75 0
188 76 4
189 19 0
190 43 1
191 55 9
192 55 7
193 61 1
194 64 0
195 67 8
196 73 3
