// The next line is the dfg name
write_bmp_header_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 24
0 1 4
1 4 0
2 1 6
3 6 0
4 1 1
5 2 0
6 7 0
7 8 0
8 14 0
9 18 0
10 1 8
11 18 1
12 10 3
13 1 7
14 13 10
15 12 2
16 14 1
17 13 5
18 17 2
19 9 0
20 11 6
21 4 4
22 16 6
23 13 0
24 14 2
25 13 9
26 19 0
27 7 5
28 10 5
29 18 2
30 6 8
31 15 0
32 15 1
33 19 1
34 7 1
35 10 4
36 15 2
37 19 2
38 7 2
39 8 2
40 10 2
41 19 3
42 1 10
43 19 4
44 16 0
45 20 0
46 5 0
47 7 3
48 10 0
49 6 1
50 11 8
51 1 9
52 7 4
53 10 1
54 13 4
55 16 4
56 20 1
57 11 2
58 12 1
59 13 1
60 16 1
61 16 2
62 20 2
63 1 5
64 6 6
65 11 0
66 12 0
67 6 2
68 16 7
69 2 1
70 3 0
71 4 1
72 3 1
73 19 9
74 2 2
75 4 2
76 6 7
77 11 1
78 4 5
79 16 5
80 1 2
81 4 3
82 7 11
83 13 2
84 11 7
85 17 1
86 1 0
87 7 9
88 13 3
89 16 3
90 3 2
91 19 10
92 1 11
93 21 0
94 17 0
95 21 1
96 5 1
97 5 2
98 16 8
99 8 1
100 9 1
101 9 2
102 19 5
103 1 3
104 7 10
105 13 11
