// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 5 5 6
actual latency 39
0 1 6
1 6 0
2 1 7
3 7 1
4 1 3
5 6 3
6 11 0
7 16 4
8 25 1
9 28 0
10 1 9
11 26 5
12 21 3
13 1 10
14 26 6
15 21 4
16 28 1
17 19 8
18 31 0
19 21 0
20 26 3
21 11 5
22 31 1
23 22 0
24 23 0
25 19 9
26 25 0
27 11 6
28 13 9
29 28 2
30 7 11
31 16 0
32 22 1
33 31 2
34 9 0
35 26 4
36 25 2
37 32 0
38 8 0
39 10 0
40 2 0
41 19 10
42 1 11
43 31 3
44 17 0
45 18 0
46 1 2
47 7 9
48 16 5
49 3 0
50 25 8
51 1 8
52 11 3
53 16 1
54 19 7
55 21 5
56 34 1
57 6 4
58 13 1
59 16 2
60 19 0
61 14 0
62 31 4
63 1 4
64 7 8
65 13 2
66 19 1
67 4 0
68 25 9
69 4 2
70 7 0
71 10 1
72 5 0
73 19 11
74 1 0
75 4 1
76 7 10
77 16 6
78 11 4
79 25 10
80 1 5
81 6 5
82 13 7
83 22 2
84 13 10
85 34 2
86 1 1
87 7 7
88 16 3
89 25 7
90 12 0
91 31 7
92 13 11
93 37 1
94 21 6
95 37 2
96 13 0
97 7 2
98 25 11
99 10 2
100 15 0
101 19 2
102 31 5
103 6 6
104 13 8
105 31 8
