// The next line is the dfg name
collapse_pyr_dfg__113_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 36
0 1 0
1 6 2
2 25 1
3 28 0
4 29 0
5 16 0
6 2 0
7 3 0
8 12 0
9 31 1
10 35 0
11 36 0
12 1 3
13 9 0
14 10 0
15 13 1
16 22 2
17 27 2
18 1 1
19 11 0
20 12 2
21 17 2
22 23 0
23 24 0
24 17 0
25 4 1
26 7 0
27 8 0
28 13 3
29 19 1
30 22 0
31 4 0
32 5 0
33 25 3
34 32 0
35 33 0
36 34 0
37 1 2
38 7 3
39 13 0
40 14 0
41 18 0
42 22 1
43 27 0
44 6 0
45 10 1
46 15 0
47 16 1
48 19 0
49 32 2
50 7 1
51 19 3
52 25 0
53 26 0
54 28 1
55 31 0
