// The next line is the dfg name
collapse_pyr_dfg__113
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 2
DIV 1 1 3
actual latency 47
0 1 1
1 3 0
2 4 0
3 5 0
4 6 0
5 1 0
6 2 0
7 3 1
8 7 0
9 8 0
10 9 0
11 10 0
12 11 0
13 12 1
14 14 0
15 15 0
16 16 0
17 17 0
18 12 0
19 14 1
20 18 0
21 19 0
22 20 0
23 21 0
24 13 0
25 22 0
26 23 1
27 25 0
28 26 0
29 27 0
30 28 0
31 23 0
32 25 1
33 29 0
34 30 0
35 31 0
36 32 0
37 24 0
38 27 1
39 33 0
40 34 0
41 14 2
42 35 0
43 36 0
44 37 0
45 38 1
46 40 0
47 41 0
48 42 0
49 43 0
50 38 0
51 40 1
52 44 0
53 45 0
54 46 0
55 47 0
