// The next line is the dfg name
feedback_points_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 39
0 9 0
1 4 0
2 5 0
3 6 0
4 11 2
5 16 0
6 17 0
7 2 0
8 1 0
9 1 3
10 7 0
11 10 1
12 16 2
13 21 1
14 18 0
15 21 0
16 24 0
17 15 0
18 26 2
19 11 0
20 31 0
21 32 0
22 34 1
23 37 0
24 7 1
25 13 1
26 38 0
27 7 3
28 1 1
29 10 0
30 13 3
31 19 3
32 25 0
33 26 0
34 22 0
35 31 3
36 37 1
37 12 0
38 4 1
39 1 2
40 8 0
41 13 0
42 14 0
43 3 0
44 6 2
45 21 2
46 16 1
47 19 0
48 20 0
49 25 3
50 31 1
51 34 0
52 35 0
