// The next line is the dfg name
feedback_points_dfg__7
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 2
DIV 1 0 3
actual latency 37
0 1 1
1 3 1
2 1 0
3 5 0
4 6 0
5 7 0
6 8 0
7 5 1
8 7 1
9 2 0
10 9 0
11 10 0
12 11 0
13 13 1
14 9 1
15 12 0
16 15 0
17 11 1
18 15 1
19 3 0
20 17 0
21 18 0
22 19 0
23 21 1
24 17 1
25 20 0
26 23 0
27 19 1
28 23 1
29 4 0
30 25 0
31 26 0
32 27 0
33 29 1
34 25 1
35 28 0
36 31 0
37 27 1
38 31 1
39 13 0
40 33 0
41 34 0
42 35 0
43 33 1
44 36 0
45 37 0
46 14 0
47 16 0
48 21 0
49 22 0
50 24 0
51 29 0
52 30 0
