// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 86
0 1 0
1 6 2
2 13 3
3 19 0
4 22 1
5 2 0
6 3 0
7 5 0
8 1 2
9 7 0
10 8 0
11 11 0
12 12 0
13 14 0
14 1 1
15 4 0
16 7 1
17 6 0
18 10 0
19 11 2
20 9 0
21 10 1
22 13 0
23 27 2
24 27 0
25 4 1
26 13 1
27 17 0
28 21 0
29 22 2
30 43 3
31 20 0
32 37 3
33 43 0
34 16 1
35 16 0
36 25 3
37 15 0
38 44 2
39 44 1
40 56 0
41 54 0
42 18 0
43 19 1
44 31 3
45 37 0
46 19 3
47 25 0
48 26 0
49 28 1
50 49 0
51 50 0
52 51 0
53 52 0
54 53 0
55 25 1
56 28 0
57 54 1
58 57 0
59 74 2
60 79 0
61 80 0
62 83 0
63 7 3
64 24 0
65 84 0
66 55 0
67 69 1
68 72 0
69 81 1
70 85 0
71 29 0
72 32 0
73 86 0
74 49 2
75 54 2
76 59 2
77 66 1
78 70 0
79 16 2
80 61 3
81 71 0
82 47 0
83 48 0
84 55 3
85 61 0
86 63 1
87 22 0
88 31 1
89 66 0
90 60 1
91 63 0
92 69 2
93 78 1
94 81 0
95 30 0
96 33 0
97 82 0
98 58 0
99 59 0
100 62 0
101 64 0
102 72 1
103 1 3
104 23 0
105 75 0
106 49 3
107 57 1
108 60 0
109 64 2
110 69 0
111 31 0
112 67 3
113 75 1
