add 1
mul 1
div 1
add 1
mul 2
div 3
DFG name: idctcol_dfg__3
Actual Latency 87
0 1 1
1 3 0
2 4 0
3 5 0
4 6 0
5 1 0
6 3 1
7 7 0
8 5 1
9 8 0
10 9 0
11 7 1
12 10 0
13 11 0
14 2 0
15 9 1
16 12 0
17 11 1
18 13 0
19 14 0
20 13 1
21 15 0
22 16 0
23 17 0
24 18 0
25 19 0
26 21 1
27 23 0
28 15 1
29 24 0
30 25 0
31 17 1
32 26 0
33 27 0
34 20 0
35 21 0
36 22 0
37 28 0
38 29 0
39 30 0
40 31 0
41 32 0
42 33 0
43 35 1
44 37 0
45 38 0
46 34 0
47 37 1
48 39 0
49 40 0
50 35 0
51 36 0
52 39 1
53 41 0
54 42 0
55 19 1
56 43 0
57 44 0
58 45 0
59 46 0
60 47 1
61 49 0
62 50 0
63 23 1
64 47 0
65 51 0
66 48 0
67 52 0
68 53 1
69 55 0
70 56 0
71 25 1
72 53 0
73 57 0
74 54 0
75 58 0
76 59 1
77 61 0
78 62 0
79 27 1
80 59 0
81 63 0
82 60 0
83 64 0
84 65 1
85 67 0
86 68 0
87 29 1
88 65 0
89 69 0
90 66 0
91 70 0
92 71 1
93 73 0
94 74 0
95 31 1
96 71 0
97 75 0
98 72 0
99 76 0
100 77 1
101 79 0
102 80 0
103 33 1
104 77 0
105 81 0
106 78 0
107 82 0
108 83 1
109 85 0
110 86 0
111 41 1
112 83 0
113 87 0
