// The next line is the dfg name
interpolate_aux_dfg__12_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 70
0 49 0
1 31 2
2 45 0
3 46 0
4 50 0
5 51 0
6 26 2
7 12 0
8 19 1
9 31 1
10 35 0
11 36 0
12 1 3
13 13 0
14 14 0
15 15 0
16 16 1
17 20 0
18 37 0
19 38 0
20 54 1
21 43 1
22 47 0
23 43 3
24 49 3
25 57 1
26 60 0
27 27 0
28 17 0
29 37 1
30 44 0
31 51 2
32 60 1
33 16 2
34 3 0
35 1 2
36 7 3
37 21 0
38 22 1
39 7 1
40 4 0
41 1 1
42 5 0
43 10 0
44 19 3
45 25 1
46 28 1
47 63 0
48 61 3
49 48 0
50 56 2
51 61 0
52 67 1
53 70 0
54 28 0
55 18 0
56 22 0
57 23 0
58 29 0
59 41 2
60 9 0
61 1 0
62 2 0
63 6 2
64 13 3
65 19 0
66 24 0
67 6 0
68 7 0
69 34 1
70 39 0
71 40 0
72 42 0
73 46 2
74 51 1
75 46 1
76 52 0
77 53 0
78 54 0
79 55 0
80 56 0
81 30 0
82 4 1
83 8 0
84 13 1
85 31 3
86 37 3
87 32 0
88 25 3
89 25 0
90 31 0
91 33 0
92 34 0
93 11 0
94 11 2
95 10 1
96 16 0
97 21 2
98 26 0
99 36 2
100 41 0
101 43 0
102 57 0
103 55 3
104 40 1
105 61 2
106 66 0
107 67 0
