// The next line is the dfg name
invert_matrix_general_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 201
0 142 1
1 126 0
2 131 0
3 132 0
4 147 0
5 149 0
6 76 0
7 141 2
8 151 1
9 154 0
10 155 0
11 63 0
12 100 1
13 131 2
14 157 3
15 163 1
16 77 0
17 161 2
18 170 0
19 172 1
20 180 0
21 115 1
22 118 0
23 127 1
24 130 0
25 103 3
26 109 0
27 110 0
28 116 2
29 133 1
30 169 3
31 181 0
32 182 0
33 183 0
34 184 0
35 185 0
36 186 0
37 130 1
38 171 2
39 187 0
40 59 0
41 82 1
42 121 3
43 127 0
44 46 1
45 52 1
46 64 1
47 67 1
48 128 0
49 86 0
50 87 0
51 89 0
52 90 0
53 129 0
54 151 2
55 135 0
56 136 0
57 157 1
58 41 2
59 46 0
60 49 3
61 55 1
62 68 0
63 69 0
64 70 0
65 72 0
66 76 2
67 102 0
68 104 0
69 105 0
70 106 0
71 107 0
72 108 0
73 146 2
74 181 2
75 193 3
76 199 0
77 109 1
78 112 0
79 113 0
80 114 0
81 55 3
82 79 3
83 85 0
84 86 2
85 115 0
86 78 0
87 80 0
88 81 0
89 82 0
90 118 1
91 148 1
92 111 0
93 187 3
94 193 2
95 19 0
96 20 0
97 25 1
98 46 2
99 51 0
100 52 0
101 58 1
102 7 1
103 17 0
104 18 0
105 6 2
106 11 2
107 16 0
108 25 3
109 61 3
110 1 3
111 7 3
112 13 0
113 1 2
114 6 0
115 7 0
116 19 3
117 2 0
118 4 1
119 8 0
120 4 0
121 5 0
122 10 0
123 11 0
124 26 2
125 1 0
126 31 2
127 37 1
128 3 0
129 9 0
130 43 3
131 49 0
132 13 3
133 19 1
134 22 0
135 34 0
136 35 0
137 36 0
138 37 0
139 50 0
140 16 2
141 22 1
142 25 0
143 30 0
144 31 0
145 32 0
146 36 2
147 21 2
148 28 1
149 37 3
150 12 0
151 13 1
152 85 3
153 91 0
154 94 1
155 43 0
156 44 0
157 45 0
158 56 0
159 57 0
160 58 0
161 97 3
162 73 0
163 74 0
164 75 0
165 33 0
166 70 1
167 91 2
168 96 0
169 103 0
170 21 0
171 23 0
172 24 0
173 26 0
174 27 0
175 28 0
176 31 1
177 40 0
178 41 0
179 42 0
180 29 0
181 43 1
182 47 0
183 48 0
184 53 0
185 60 0
186 109 3
187 115 3
188 121 1
189 112 1
190 156 2
191 162 0
192 163 0
193 164 0
194 95 0
195 160 1
196 165 0
197 166 0
198 167 0
199 168 0
200 181 3
201 188 0
202 190 1
203 61 2
204 66 0
205 67 0
206 111 2
207 120 0
208 121 0
209 123 0
210 124 0
211 125 0
212 98 0
213 99 0
214 169 1
215 172 0
216 173 0
217 174 0
218 175 1
219 140 0
220 143 0
221 179 0
222 61 0
223 91 1
224 97 1
225 100 0
226 10 1
227 34 1
228 40 1
229 61 1
230 103 1
231 76 1
232 79 0
233 96 2
234 101 2
235 106 1
236 145 1
237 138 0
238 142 0
239 148 0
240 49 1
241 54 0
242 55 0
243 67 3
244 1 1
245 14 0
246 16 1
247 31 3
248 73 3
249 64 0
250 65 0
251 66 2
252 71 0
253 81 2
254 88 1
255 145 0
256 101 0
257 186 2
258 191 0
259 85 1
260 88 0
261 126 2
262 133 3
263 139 3
264 145 3
265 151 0
266 154 1
267 157 0
268 116 0
269 117 0
270 119 0
271 124 1
272 158 0
273 159 0
274 160 0
275 122 0
276 187 1
277 190 0
278 178 1
279 192 0
280 193 0
281 194 0
282 92 0
283 93 0
284 176 2
285 189 0
286 195 0
287 94 0
288 139 1
289 166 1
290 169 0
291 196 0
292 197 0
293 137 0
294 141 0
295 198 0
296 15 0
297 51 2
298 56 2
299 97 0
300 38 0
301 39 0
302 73 1
303 91 3
304 106 2
305 79 1
306 121 2
307 127 3
308 133 0
309 134 0
310 136 2
311 146 0
312 193 1
313 200 0
314 201 0
315 83 0
316 84 0
317 136 1
318 139 0
319 62 0
320 151 3
321 161 0
322 166 2
323 171 0
324 163 3
325 175 0
326 176 0
327 177 0
328 178 0
329 181 1
330 71 2
331 175 3
332 184 1
