add 1
mul 1
div 1
add 1
mul 2
div 3
DFG name: jpeg_fdct_islow_dfg__6
Actual Latency 98
0 1 1
1 3 0
2 4 0
3 3 1
4 5 0
5 6 0
6 7 0
7 5 1
8 8 0
9 9 0
10 7 1
11 10 0
12 11 0
13 12 0
14 9 1
15 13 0
16 14 0
17 11 1
18 15 0
19 16 0
20 17 0
21 13 1
22 18 0
23 19 0
24 15 1
25 20 0
26 21 0
27 22 0
28 17 1
29 23 0
30 24 0
31 19 1
32 25 0
33 26 0
34 27 0
35 21 1
36 28 0
37 29 0
38 23 1
39 30 0
40 31 0
41 32 0
42 25 1
43 33 0
44 34 0
45 27 1
46 35 0
47 36 0
48 37 0
49 29 1
50 38 0
51 39 0
52 31 1
53 40 0
54 41 0
55 42 0
56 43 0
57 44 0
58 45 0
59 46 0
60 47 0
61 48 0
62 49 0
63 33 1
64 50 0
65 51 0
66 52 0
67 53 0
68 54 0
69 35 1
70 55 0
71 56 0
72 57 0
73 59 1
74 45 1
75 61 0
76 62 0
77 63 0
78 37 1
79 58 0
80 64 0
81 47 1
82 65 0
83 66 0
84 67 0
85 39 1
86 59 0
87 68 0
88 60 0
89 69 0
90 70 0
91 71 0
92 72 0
93 74 1
94 43 1
95 41 1
96 49 1
97 51 1
98 61 1
99 70 1
100 72 1
101 76 1
102 76 0
103 78 0
104 73 0
105 77 0
106 79 0
107 80 0
108 53 1
109 74 0
110 81 0
111 75 0
112 82 0
113 83 0
114 84 0
115 55 1
116 85 0
117 86 0
118 87 0
119 88 0
120 89 0
121 90 0
122 57 1
123 91 0
124 92 0
125 93 0
126 94 0
127 95 0
128 96 0
129 63 1
130 97 0
131 98 0
132 1 0
133 2 0
