// The next line is the dfg name
matmul_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 74
0 1 1
1 4 0
2 7 1
3 13 3
4 1 0
5 7 3
6 13 0
7 14 0
8 1 2
9 6 0
10 7 0
11 10 1
12 18 0
13 22 0
14 26 2
15 31 0
16 9 0
17 10 0
18 13 1
19 19 1
20 23 0
21 24 0
22 29 0
23 41 2
24 46 0
25 28 0
26 30 0
27 32 0
28 37 3
29 47 2
30 4 1
31 17 0
32 43 3
33 49 1
34 52 0
35 35 0
36 61 3
37 73 0
38 74 0
39 2 0
40 6 2
41 11 0
42 19 0
43 3 0
44 8 0
45 15 0
46 16 0
47 25 3
48 5 0
49 12 0
50 31 3
51 37 0
52 40 1
53 33 0
54 34 0
55 61 1
56 66 0
57 67 2
58 55 1
59 58 2
60 67 0
61 72 0
62 1 3
63 11 2
64 16 1
65 20 0
66 16 2
67 22 1
68 25 0
69 28 1
70 31 1
71 36 0
72 39 0
73 41 0
74 42 0
75 43 0
76 21 2
77 26 0
78 27 0
79 49 3
80 55 0
81 34 1
82 37 1
83 43 1
84 56 0
85 21 0
86 46 1
87 52 2
88 57 0
89 55 3
90 61 0
91 62 0
92 63 0
93 64 0
94 19 3
95 25 1
96 31 2
97 36 2
98 65 0
99 52 1
100 58 1
101 68 0
102 69 0
103 70 0
104 40 0
105 44 0
106 45 0
107 71 0
108 38 0
