// The next line is the dfg name
matmul_dfg__3
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 2
DIV 1 0 3
actual latency 82
0 1 0
1 3 1
2 5 0
3 6 0
4 2 0
5 5 1
6 7 0
7 8 0
8 3 0
9 7 1
10 9 0
11 10 0
12 4 0
13 9 1
14 11 0
15 12 0
16 1 1
17 13 0
18 14 0
19 15 1
20 11 1
21 15 0
22 16 0
23 17 1
24 19 0
25 13 1
26 17 0
27 18 0
28 19 1
29 21 0
30 21 1
31 23 0
32 24 0
33 25 1
34 27 0
35 20 0
36 23 1
37 25 0
38 28 0
39 27 1
40 29 0
41 30 0
42 31 1
43 29 1
44 31 0
45 32 0
46 33 1
47 35 0
48 35 1
49 37 0
50 38 0
51 39 1
52 41 0
53 37 1
54 39 0
55 40 0
56 41 1
57 43 0
58 22 0
59 43 1
60 45 0
61 46 0
62 45 1
63 47 0
64 48 0
65 49 1
66 47 1
67 49 0
68 50 0
69 51 1
70 53 0
71 53 1
72 55 0
73 56 0
74 57 1
75 59 0
76 55 1
77 57 0
78 58 0
79 59 1
80 61 0
81 26 0
82 61 1
83 63 0
84 64 0
85 63 1
86 65 0
87 66 0
88 67 1
89 65 1
90 67 0
91 68 0
92 69 1
93 71 0
94 71 1
95 73 0
96 74 0
97 75 1
98 77 0
99 73 1
100 75 0
101 76 0
102 77 1
103 79 0
104 33 0
105 79 1
106 81 0
107 82 0
108 34 0
