// The next line is the dfg name
random1_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 366
0 2 0
1 3 0
2 4 0
3 5 0
4 8 0
5 9 0
6 10 3
7 298 0
8 6 0
9 7 1
10 342 0
11 10 0
12 23 2
13 13 2
14 279 0
15 18 0
16 280 0
17 245 0
18 325 0
19 336 0
20 326 0
21 63 2
22 281 0
23 28 1
24 284 0
25 29 0
26 211 1
27 258 0
28 296 0
29 337 1
30 352 0
31 343 2
32 337 3
33 339 0
34 353 2
35 337 0
36 361 3
37 261 0
38 20 0
39 19 0
40 338 0
41 286 3
42 249 0
43 21 0
44 277 0
45 268 3
46 22 3
47 250 0
48 108 2
49 327 0
50 343 0
51 344 0
52 350 0
53 345 0
54 22 1
55 151 0
56 31 1
57 184 3
58 265 1
59 205 1
60 52 0
61 235 0
62 109 1
63 33 0
64 98 0
65 160 3
66 251 0
67 323 2
68 94 3
69 304 3
70 303 0
71 276 0
72 318 0
73 353 0
74 236 0
75 237 0
76 171 0
77 190 3
78 193 1
79 173 0
80 58 3
81 217 1
82 174 0
83 58 2
84 63 0
85 340 0
86 212 0
87 64 3
88 157 1
89 351 0
90 106 0
91 293 2
92 311 0
93 286 1
94 285 0
95 305 0
96 70 0
97 154 1
98 64 0
99 33 2
100 220 1
101 181 0
102 203 0
103 223 1
104 153 0
105 213 0
106 16 0
107 243 2
108 262 0
109 263 0
110 268 1
111 289 1
112 264 0
113 248 0
114 286 0
115 268 0
116 248 2
117 278 0
118 354 1
119 295 1
120 301 1
121 124 0
122 118 2
123 109 0
124 304 1
125 274 3
126 313 2
127 101 0
128 60 0
129 46 1
130 113 2
131 226 1
132 229 1
133 120 0
134 234 0
135 182 0
136 232 1
137 183 0
138 184 0
139 196 3
140 196 0
141 252 0
142 259 1
143 143 0
144 204 0
145 355 3
146 253 0
147 235 1
148 310 0
149 124 3
150 154 0
151 244 3
152 238 2
153 203 2
154 130 0
155 298 3
156 292 1
157 271 1
158 269 0
159 270 0
160 271 0
161 288 2
162 76 3
163 214 0
164 215 0
165 216 0
166 340 1
167 316 1
168 62 0
169 66 0
170 68 2
171 88 1
172 70 3
173 61 0
174 68 0
175 69 0
176 71 0
177 73 0
178 74 0
179 75 0
180 76 0
181 77 0
182 73 2
183 254 0
184 278 2
185 238 0
186 250 3
187 58 1
188 54 0
189 73 1
190 52 3
191 297 0
192 265 0
193 266 0
194 238 1
195 185 0
196 158 2
197 186 0
198 187 0
199 188 0
200 189 0
201 163 0
202 1 1
203 4 1
204 7 0
205 346 0
206 10 1
207 16 3
208 257 0
209 298 2
210 136 1
211 22 0
212 125 0
213 99 0
214 255 0
215 126 0
216 139 1
217 283 2
218 239 0
219 168 0
220 112 1
221 24 0
222 240 0
223 139 0
224 108 0
225 11 0
226 217 0
227 169 1
228 241 0
229 242 0
230 100 1
231 256 3
232 138 0
233 338 2
234 323 0
235 12 0
236 148 1
237 334 1
238 341 0
239 346 1
240 302 0
241 13 1
242 287 0
243 306 0
244 17 0
245 349 3
246 218 0
247 226 3
248 150 0
249 166 0
250 219 0
251 169 0
252 220 0
253 27 0
254 167 0
255 172 0
256 328 2
257 310 3
258 319 0
259 303 2
260 320 0
261 319 1
262 288 0
263 307 0
264 322 1
265 325 1
266 247 0
267 308 0
268 309 0
269 328 1
270 88 2
271 190 0
272 241 1
273 49 1
274 223 2
275 28 2
276 228 2
277 244 1
278 348 0
279 34 1
280 102 0
281 259 0
282 256 0
283 310 1
284 262 3
285 290 0
286 260 0
287 291 0
288 292 0
289 329 0
290 115 0
291 91 1
292 129 0
293 130 3
294 52 1
295 97 0
296 330 0
297 95 0
298 96 0
299 94 1
300 243 0
301 328 0
302 282 0
303 283 0
304 280 3
305 324 0
306 331 0
307 349 0
308 166 3
309 172 1
310 183 2
311 196 1
312 103 1
313 155 0
314 172 3
315 148 0
316 304 0
317 321 0
318 221 0
319 127 0
320 246 0
321 222 0
322 232 3
323 128 0
324 223 0
325 347 0
326 205 0
327 156 0
328 188 2
329 157 0
330 218 2
331 238 3
332 224 0
333 206 0
334 208 0
335 208 1
336 209 0
337 210 0
338 208 2
339 213 2
340 329 3
341 112 3
342 72 0
343 78 0
344 59 0
345 247 1
346 103 0
347 104 0
348 127 1
349 334 0
350 332 0
351 335 0
352 333 2
353 331 1
354 202 3
355 178 3
356 160 0
357 199 1
358 161 0
359 191 0
360 208 3
361 214 3
362 192 0
363 233 2
364 194 0
365 195 0
366 312 0
367 313 0
368 314 0
369 315 0
370 316 0
371 317 0
372 175 0
373 175 1
374 176 0
375 177 0
376 178 2
377 178 1
378 178 0
379 179 0
380 180 0
381 343 3
382 333 0
383 299 0
384 349 1
385 300 0
386 151 1
387 244 0
388 76 1
389 55 0
390 78 2
391 83 2
392 79 1
393 40 1
394 56 0
395 94 0
396 149 0
397 250 1
398 253 2
399 46 3
400 207 0
401 1 0
402 2 3
403 289 0
404 8 2
405 13 0
406 292 3
407 293 0
408 295 0
409 97 1
410 14 0
411 294 0
412 15 0
413 298 1
414 103 2
415 18 2
416 190 1
417 173 2
418 16 1
419 307 1
420 272 0
421 202 1
422 142 1
423 23 0
424 313 1
425 225 0
426 25 1
427 106 1
428 170 0
429 152 0
430 258 2
431 226 0
432 19 1
433 231 0
434 25 0
435 141 0
436 144 0
437 145 0
438 98 2
439 184 1
440 84 0
441 135 0
442 116 0
443 262 1
444 316 3
445 153 2
446 166 1
447 197 0
448 220 3
449 198 0
450 253 1
451 199 0
452 200 0
453 162 0
454 211 0
455 164 0
456 165 0
457 100 0
458 308 2
459 28 3
460 146 0
461 187 1
462 148 3
463 343 1
464 107 0
465 26 0
466 131 0
467 132 0
468 31 0
469 100 3
470 58 0
471 163 1
472 136 3
473 181 1
474 115 1
475 130 1
476 28 0
477 118 3
478 30 0
479 110 0
480 133 1
481 111 0
482 35 0
483 82 1
484 39 0
485 38 2
486 34 3
487 40 3
488 36 0
489 34 0
490 85 1
491 138 2
492 37 0
493 348 2
494 105 0
495 142 3
496 106 3
497 133 0
498 85 0
499 134 0
500 118 1
501 148 2
502 168 2
503 117 0
504 32 0
505 53 0
506 37 1
507 112 0
508 113 0
509 61 1
510 114 0
511 322 0
512 93 2
513 64 1
514 65 0
515 136 0
516 137 0
517 57 0
518 67 1
519 67 0
520 70 1
521 38 0
522 142 0
523 79 0
524 80 0
525 82 3
526 81 0
527 82 0
528 83 0
529 43 0
530 40 0
531 140 0
532 145 1
533 154 3
534 147 0
535 232 0
536 256 1
537 233 0
538 41 0
539 42 0
540 44 0
541 43 2
542 43 1
543 46 0
544 48 0
545 48 2
546 49 0
547 227 0
548 228 0
549 263 2
550 193 0
551 268 2
552 229 0
553 193 2
554 273 2
555 230 0
556 118 0
557 119 0
558 267 0
559 318 2
560 301 0
561 143 2
562 47 0
563 214 1
564 53 2
