// The next line is the dfg name
random4
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 2
DIV 1 0 3
actual latency 701
0 1 1
1 3 0
2 4 0
3 5 0
4 6 0
5 7 0
6 5 1
7 8 0
8 7 1
9 9 0
10 9 1
11 10 0
12 11 0
13 12 0
14 13 0
15 14 0
16 14 1
17 16 0
18 17 0
19 16 1
20 18 0
21 15 0
22 19 0
23 20 0
24 21 0
25 22 0
26 23 0
27 24 0
28 25 0
29 26 0
30 27 0
31 22 1
32 28 0
33 24 1
34 29 0
35 18 1
36 30 0
37 31 0
38 20 1
39 26 1
40 32 0
41 33 0
42 34 0
43 35 0
44 28 1
45 36 0
46 37 0
47 38 0
48 39 0
49 30 1
50 40 0
51 32 1
52 41 0
53 34 1
54 42 0
55 42 1
56 43 0
57 44 1
58 44 0
59 46 1
60 36 1
61 45 0
62 46 0
63 47 0
64 48 0
65 49 0
66 50 0
67 51 0
68 48 1
69 52 0
70 53 0
71 54 0
72 55 0
73 56 0
74 57 0
75 38 1
76 58 0
77 40 1
78 59 0
79 60 0
80 61 0
81 50 1
82 62 0
83 63 0
84 64 0
85 52 1
86 65 0
87 66 0
88 67 0
89 68 0
90 69 0
91 70 0
92 71 0
93 54 1
94 72 0
95 56 1
96 73 0
97 74 0
98 75 0
99 58 1
100 60 1
101 62 1
102 76 0
103 77 0
104 78 0
105 79 0
106 64 1
107 80 0
108 81 0
109 66 1
110 82 0
111 83 0
112 84 0
113 85 0
114 86 0
115 87 0
116 88 0
117 89 0
118 90 0
119 91 0
120 92 0
121 90 1
122 93 0
123 94 0
124 82 1
125 95 0
126 96 0
127 97 0
128 98 0
129 99 0
130 100 0
131 101 0
132 102 0
133 103 0
134 104 0
135 105 0
136 106 0
137 107 0
138 74 1
139 76 1
140 108 0
141 109 0
142 102 1
143 110 0
144 104 1
145 78 1
146 111 0
147 80 1
148 84 1
149 112 0
150 113 0
151 86 1
152 114 0
153 115 0
154 116 0
155 117 0
156 68 1
157 118 0
158 119 0
159 120 0
160 121 0
161 122 0
162 88 1
163 123 0
164 124 0
165 92 1
166 125 0
167 94 1
168 126 0
169 96 1
170 127 0
171 128 0
172 98 1
173 129 0
174 130 0
175 131 0
176 132 0
177 133 0
178 134 0
179 135 0
180 136 0
181 106 1
182 70 1
183 137 0
184 138 0
185 139 0
186 140 0
187 141 0
188 122 1
189 142 0
190 124 1
191 143 0
192 126 1
193 144 0
194 128 1
195 145 0
196 146 0
197 147 0
198 148 0
199 149 0
200 108 1
201 150 0
202 151 0
203 152 0
204 116 1
205 153 0
206 72 1
207 100 1
208 154 0
209 155 0
210 156 0
211 157 0
212 110 1
213 158 0
214 159 0
215 160 0
216 161 0
217 112 1
218 162 0
219 163 0
220 114 1
221 164 0
222 165 0
223 166 0
224 167 0
225 118 1
226 168 0
227 169 0
228 170 0
229 171 0
230 172 0
231 173 0
232 174 0
233 175 0
234 176 0
235 177 0
236 178 0
237 179 0
238 180 0
239 181 0
240 182 0
241 183 0
242 184 0
243 185 0
244 186 0
245 187 0
246 188 0
247 189 0
248 190 0
249 191 0
250 192 0
251 193 0
252 194 0
253 120 1
254 195 0
255 175 1
256 196 0
257 197 0
258 198 0
259 199 0
260 197 1
261 200 0
262 201 0
263 195 1
264 202 0
265 199 1
266 203 0
267 204 0
268 205 0
269 206 0
270 148 1
271 207 0
272 208 0
273 209 0
274 210 0
275 211 0
276 212 0
277 172 1
278 213 0
279 214 0
280 130 1
281 132 1
282 215 0
283 216 0
284 217 0
285 142 1
286 218 0
287 219 0
288 220 0
289 221 0
290 134 1
291 222 0
292 223 0
293 224 0
294 136 1
295 225 0
296 11 1
297 226 0
298 227 0
299 201 1
300 228 0
301 229 0
302 203 1
303 230 0
304 205 1
305 207 1
306 1 0
307 2 0
308 231 0
309 3 1
310 232 0
311 233 0
312 234 0
313 235 0
314 236 0
315 235 1
316 237 0
317 238 0
318 239 0
319 237 1
320 240 0
321 239 1
322 241 0
323 241 1
324 242 0
325 243 0
326 244 0
327 243 1
328 245 0
329 245 1
330 246 0
331 247 0
332 247 1
333 248 0
334 249 1
335 249 0
336 250 0
337 251 0
338 252 0
339 253 1
340 251 1
341 253 0
342 255 1
343 254 0
344 255 0
345 257 1
346 256 0
347 257 0
348 258 0
349 259 0
350 260 0
351 261 0
352 261 1
353 262 0
354 263 0
355 264 0
356 265 0
357 266 0
358 267 0
359 268 0
360 269 0
361 270 0
362 271 0
363 272 0
364 273 0
365 267 1
366 274 0
367 275 0
368 265 1
369 276 0
370 277 0
371 278 0
372 279 0
373 280 0
374 281 0
375 282 0
376 283 0
377 284 0
378 285 0
379 285 1
380 286 0
381 287 0
382 288 0
383 289 0
384 290 0
385 291 0
386 292 0
387 293 0
388 294 0
389 271 1
390 287 1
391 295 1
392 295 0
393 296 0
394 297 1
395 299 1
396 301 1
397 297 0
398 298 0
399 289 1
400 299 0
401 300 0
402 301 0
403 277 1
404 302 0
405 279 1
406 281 1
407 303 0
408 304 0
409 305 0
410 306 0
411 307 0
412 308 0
413 309 0
414 310 0
415 311 0
416 312 0
417 313 0
418 314 0
419 315 0
420 316 0
421 317 0
422 318 0
423 319 0
424 320 0
425 321 0
426 322 0
427 323 0
428 324 0
429 325 0
430 303 1
431 305 1
432 326 0
433 327 0
434 328 0
435 329 0
436 330 0
437 259 1
438 263 1
