// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 127
0 65 0
1 29 0
2 24 0
3 19 0
4 22 1
5 25 0
6 30 0
7 31 2
8 85 3
9 34 1
10 20 0
11 41 2
12 46 0
13 101 1
14 104 0
15 105 0
16 106 0
17 5 0
18 2 0
19 1 3
20 7 0
21 8 0
22 9 0
23 13 3
24 25 3
25 7 3
26 3 0
27 4 0
28 16 2
29 31 0
30 32 0
31 37 3
32 43 3
33 36 0
34 51 2
35 109 3
36 54 0
37 59 0
38 61 2
39 116 1
40 119 0
41 120 0
42 71 2
43 76 2
44 81 0
45 68 0
46 74 0
47 107 1
48 110 0
49 111 0
50 38 0
51 33 0
52 10 1
53 21 0
54 35 0
55 40 1
56 43 1
57 49 0
58 42 0
59 7 1
60 67 3
61 76 1
62 79 0
63 80 0
64 81 2
65 86 1
66 36 2
67 19 1
68 16 1
69 22 0
70 23 0
71 41 0
72 46 2
73 39 0
74 17 0
75 11 0
76 12 0
77 73 3
78 86 2
79 92 0
80 98 1
81 101 0
82 67 0
83 70 1
84 89 1
85 46 1
86 50 0
87 106 2
88 112 0
89 115 0
90 117 0
91 96 2
92 122 1
93 125 0
94 101 2
95 108 0
96 109 0
97 126 0
98 127 0
99 66 0
100 53 0
101 66 2
102 71 0
103 79 1
104 82 0
105 83 0
106 52 1
107 60 0
108 51 0
109 52 0
110 62 0
111 63 0
112 64 0
113 84 0
114 89 0
115 56 0
116 48 0
117 45 0
118 47 0
119 49 1
120 57 0
121 58 1
122 28 1
123 18 0
124 10 0
125 13 1
126 55 3
127 61 3
128 67 1
129 70 0
130 73 1
131 72 0
132 75 0
133 90 0
134 73 0
135 76 0
136 77 0
137 91 0
138 92 1
139 95 0
140 69 0
141 82 1
142 85 0
143 91 3
144 104 1
145 113 1
146 118 0
147 119 1
148 4 1
149 13 0
150 1 1
151 6 0
152 14 0
153 21 2
154 49 3
155 26 0
156 1 2
157 1 0
158 19 3
159 26 2
160 31 3
161 37 0
162 55 0
163 56 2
164 11 2
165 27 0
166 6 2
167 16 0
168 28 0
169 31 1
170 34 0
171 40 0
172 25 1
173 15 0
174 79 3
175 86 0
176 87 0
177 88 0
178 95 1
179 98 0
180 37 1
181 91 2
182 96 0
183 97 3
184 103 0
185 107 0
186 110 1
187 113 0
188 114 0
189 43 0
190 44 0
191 103 3
192 55 1
193 58 0
194 61 0
195 111 2
196 116 0
