add 1
mul 1
div 1
add 1
mul 2
div 3
DFG name: smooth_color_z_triangle_dfg__31
Actual Latency 138
0 1 1
1 3 1
2 5 1
3 1 0
4 2 0
5 7 0
6 8 0
7 9 0
8 7 1
9 9 1
10 3 0
11 4 0
12 11 0
13 12 0
14 13 0
15 14 0
16 15 1
17 11 1
18 13 1
19 5 0
20 6 0
21 15 0
22 16 0
23 17 0
24 17 1
25 19 1
26 10 0
27 18 0
28 21 0
29 22 0
30 23 0
31 24 0
32 25 1
33 19 0
34 20 0
35 21 1
36 25 0
37 26 0
38 27 1
39 29 0
40 31 1
41 33 1
42 27 0
43 28 0
44 29 1
45 30 0
46 31 0
47 35 1
48 37 0
49 39 1
50 23 1
51 37 1
52 32 0
53 33 0
54 39 0
55 40 0
56 41 0
57 41 1
58 43 1
59 34 0
60 35 0
61 45 0
62 46 0
63 47 0
64 48 0
65 49 1
66 45 1
67 47 1
68 36 0
69 38 0
70 49 0
71 50 0
72 51 0
73 51 1
74 53 1
75 42 0
76 43 0
77 55 0
78 56 0
79 57 0
80 58 0
81 59 1
82 44 0
83 52 0
84 55 1
85 53 0
86 54 0
87 61 1
88 63 0
89 65 1
90 67 1
91 59 0
92 60 0
93 63 1
94 61 0
95 62 0
96 69 1
97 71 0
98 73 1
99 57 1
100 71 1
101 64 0
102 65 0
103 73 0
104 74 0
105 75 0
106 75 1
107 77 1
108 66 0
109 67 0
110 79 0
111 80 0
112 81 0
113 82 0
114 83 1
115 79 1
116 81 1
117 68 0
118 69 0
119 83 0
120 84 0
121 85 0
122 85 1
123 87 1
124 70 0
125 72 0
126 89 0
127 90 0
128 91 0
129 92 0
130 93 1
131 76 0
132 77 0
133 89 1
134 78 0
135 86 0
136 95 1
137 97 0
138 99 1
139 101 1
140 87 0
141 88 0
142 97 1
143 93 0
144 94 0
145 103 1
146 105 0
147 107 1
148 91 1
149 105 1
150 95 0
151 96 0
152 107 0
153 108 0
154 109 0
155 109 1
156 111 1
157 98 0
158 99 0
159 113 0
160 114 0
161 115 0
162 116 0
163 117 1
164 113 1
165 115 1
166 100 0
167 101 0
168 117 0
169 118 0
170 119 0
171 119 1
172 121 1
173 102 0
174 103 0
175 123 0
176 124 0
177 125 0
178 126 0
179 127 1
180 104 0
181 106 0
182 123 1
183 110 0
184 111 0
185 129 1
186 131 0
187 133 1
188 135 1
189 112 0
190 120 0
191 131 1
192 121 0
193 122 0
194 125 1
195 133 0
196 137 1
