// The next line is the dfg name
write_bmp_header_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 90
0 4 1
1 8 0
2 1 2
3 6 0
4 1 0
5 2 0
6 7 0
7 9 0
8 36 0
9 38 0
10 41 2
11 47 0
12 22 1
13 56 2
14 61 3
15 13 0
16 14 0
17 43 1
18 46 0
19 10 0
20 11 2
21 10 1
22 16 2
23 15 0
24 16 0
25 13 3
26 19 0
27 16 1
28 40 1
29 43 0
30 36 2
31 41 0
32 57 0
33 58 0
34 24 0
35 25 1
36 54 0
37 55 0
38 28 0
39 29 0
40 59 0
41 61 1
42 19 3
43 37 1
44 39 0
45 40 0
46 17 0
47 19 1
48 22 0
49 18 0
50 26 2
51 1 3
52 7 1
53 11 0
54 13 1
55 46 1
56 49 0
57 30 0
58 31 0
59 32 0
60 33 0
61 48 0
62 50 0
63 1 1
64 21 2
65 26 0
66 27 0
67 20 0
68 31 2
69 34 0
70 53 0
71 60 0
72 61 0
73 85 3
74 5 0
75 12 0
76 46 2
77 51 0
78 49 1
79 52 1
80 25 0
81 28 1
82 31 3
83 37 0
84 51 2
85 56 0
86 21 0
87 25 3
88 31 1
89 34 1
90 62 0
91 67 3
92 7 3
93 23 0
94 42 0
95 44 0
96 3 0
97 4 0
98 6 2
99 35 0
100 45 0
101 52 0
102 55 1
103 58 1
104 73 3
105 79 3
