DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_uniform,8,6,-2,PASS,2,0.052167
hal_4type_uniform,22,21,-1,PASS,4,0.107792
horner_bezier_surf_dfg__12_4type_uniform,34,46,12,FAIL,4,0.313416
arf_4type_uniform,57,46,-11,PASS,4,0.926833
motion_vectors_dfg__7_4type_uniform,39,38,-1,PASS,6,1.10938
ewf_4type_uniform,97,72,-25,PASS,4,1.65767
feedback_points_dfg__7_4type_uniform,39,42,3,FAIL,8,4.36554
write_bmp_header_dfg__7_4type_uniform,39,59,20,FAIL,12,26.5043
interpolate_aux_dfg__12_4type_uniform,61,72,11,FAIL,9,28.5335
matmul_dfg__3_4type_uniform,63,78,15,FAIL,9,27.1985
smooth_color_z_triangle_dfg__31_4type_uniform,85,105,20,FAIL,11,143.026
invert_matrix_general_dfg__3_4type_uniform,85,111,26,FAIL,16,514.258
h2v2_smooth_downsample_dfg__6_4type_uniform,81,79,-2,PASS,5,5.31154
collapse_pyr_dfg__113_4type_uniform,45,59,14,FAIL,7,4.08021
idctcol_dfg__3_4type_uniform,97,99,2,FAIL,6,41.2703
jpeg_fdct_islow_dfg__6_4type_uniform,76,81,5,FAIL,9,97.3967
random1_4type_uniform,91,110,19,FAIL,31,1730.63
random2_4type_uniform,85,95,10,FAIL,33,1561.31
random3_4type_uniform,109,117,8,FAIL,31,3711.92
random4_4type_uniform,81,90,9,FAIL,52,3549.03
random5_4type_uniform,88,96,8,FAIL,60,7072.05
random6_4type_uniform,91,103,12,FAIL,85,17344.2
random7_4type_uniform,99,116,17,FAIL,85,22525.5
