DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_invdelay,8,0,-8,PASS,0,0.497
hal_4type_invdelay,21,0,-21,PASS,0,7.29946
horner_bezier_surf_dfg__12_4type_invdelay,31,0,-31,PASS,0,18.3058
arf_4type_invdelay,43,0,-43,PASS,0,57.6795
motion_vectors_dfg__7_4type_invdelay,25,0,-25,PASS,0,35.9636
ewf_4type_invdelay,61,0,-61,PASS,0,80.1921
feedback_points_dfg__7_4type_invdelay,30,0,-30,PASS,0,223.885
write_bmp_header_dfg__7_4type_invdelay,28,0,-28,PASS,0,1539.36
interpolate_aux_dfg__12_4type_invdelay,34,0,-34,PASS,0,1478.59
matmul_dfg__3_4type_invdelay,43,0,-43,PASS,0,2432.26
example_4type_invdelay,8,0,-8,PASS,0,4.49313
hal_4type_invdelay,21,0,-21,PASS,0,67.2962
horner_bezier_surf_dfg__12_4type_invdelay,31,0,-31,PASS,0,195.4
arf_4type_invdelay,43,0,-43,PASS,0,458.368
motion_vectors_dfg__7_4type_invdelay,25,0,-25,PASS,0,332.837
ewf_4type_invdelay,61,0,-61,PASS,0,788.295
feedback_points_dfg__7_4type_invdelay,30,0,-30,PASS,0,2319.58
write_bmp_header_dfg__7_4type_invdelay,28,0,-28,PASS,0,15029.1
interpolate_aux_dfg__12_4type_invdelay,34,0,-34,PASS,0,14505.3
matmul_dfg__3_4type_invdelay,43,0,-43,PASS,0,24224.8
example_4type_invdelay,8,0,-8,PASS,0,6.21471
hal_4type_invdelay,21,0,-21,PASS,0,83.1139
horner_bezier_surf_dfg__12_4type_invdelay,31,0,-31,PASS,0,153.029
arf_4type_invdelay,43,0,-43,PASS,0,407.083
motion_vectors_dfg__7_4type_invdelay,25,0,-25,PASS,0,347.152
ewf_4type_invdelay,61,0,-61,PASS,0,785.781
feedback_points_dfg__7_4type_invdelay,30,0,-30,PASS,0,2327.61
example_4type_invdelay,8,0,-8,PASS,0,3.91783
hal_4type_invdelay,21,0,-21,PASS,0,83.8891
horner_bezier_surf_dfg__12_4type_invdelay,31,0,-31,PASS,0,150.069
example_4type_invdelay,8,0,-8,PASS,0,8.56121
hal_4type_invdelay,21,0,-21,PASS,0,0.8885
horner_bezier_surf_dfg__12_4type_invdelay,31,0,-31,PASS,0,177.584
arf_4type_invdelay,43,0,-43,PASS,0,2.13567
motion_vectors_dfg__7_4type_invdelay,25,0,-25,PASS,0,1.67813
ewf_4type_invdelay,61,0,-61,PASS,0,4.20862
feedback_points_dfg__7_4type_invdelay,30,0,-30,PASS,0,2367.34
write_bmp_header_dfg__7_4type_invdelay,28,0,-28,PASS,0,15036.2
