// The next line is the dfg name
idctcol_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 75
0 1 0
1 6 2
2 13 3
3 19 0
4 22 1
5 2 0
6 3 0
7 5 0
8 1 2
9 11 0
10 14 0
11 9 0
12 12 0
13 15 0
14 1 1
15 4 0
16 7 1
17 6 0
18 10 0
19 11 2
20 8 0
21 13 1
22 16 0
23 26 2
24 26 0
25 4 1
26 10 1
27 13 0
28 17 0
29 21 2
30 37 3
31 7 0
32 19 3
33 25 0
34 16 1
35 18 0
36 25 3
37 20 0
38 31 2
39 31 1
40 44 0
41 43 0
42 21 0
43 25 1
44 49 3
45 55 0
46 31 3
47 37 0
48 38 0
49 39 1
50 36 0
51 39 0
52 40 0
53 41 0
54 42 0
55 19 1
56 24 0
57 43 1
58 56 0
59 61 2
60 66 0
61 67 0
62 68 0
63 1 3
64 29 0
65 70 0
66 45 0
67 52 1
68 59 0
69 61 1
70 64 0
71 27 0
72 30 0
73 71 0
74 36 2
75 41 2
76 46 2
77 55 1
78 65 0
79 16 2
80 67 3
81 73 0
82 34 0
83 35 0
84 55 3
85 61 0
86 64 1
87 23 0
88 28 1
89 72 0
90 46 1
91 49 0
92 51 2
93 58 1
94 69 0
95 28 0
96 31 0
97 74 0
98 57 0
99 58 0
100 60 0
101 62 0
102 67 1
103 7 3
104 32 0
105 75 0
106 43 3
107 49 1
108 52 0
109 56 2
110 63 0
111 22 0
112 61 3
113 70 1
