// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 300
0 186 2
1 3 0
2 10 1
3 4 1
4 11 2
5 16 1
6 19 1
7 91 3
8 49 3
9 31 2
10 7 1
11 37 3
12 43 1
13 66 2
14 73 1
15 99 1
16 102 1
17 2 0
18 1 0
19 19 3
20 25 1
21 28 0
22 29 0
23 31 3
24 7 3
25 1 3
26 1 1
27 4 0
28 13 3
29 21 2
30 26 2
31 67 3
32 115 3
33 46 2
34 121 3
35 169 3
36 10 0
37 11 0
38 175 3
39 229 3
40 235 2
41 289 3
42 217 3
43 265 3
44 271 1
45 19 0
46 79 1
47 181 2
48 277 1
49 283 1
50 37 1
51 71 2
52 56 2
53 61 1
54 76 0
55 96 2
56 111 2
57 14 0
58 52 1
59 51 2
60 127 3
61 136 2
62 141 0
63 142 0
64 211 3
65 217 2
66 145 3
67 101 2
68 76 2
69 106 2
70 111 1
71 151 0
72 199 3
73 12 0
74 31 1
75 22 1
76 34 1
77 139 3
78 181 3
79 187 1
80 209 2
81 214 0
82 18 0
83 166 2
84 222 2
85 156 2
86 161 0
87 277 3
88 283 0
89 286 1
90 289 1
91 253 3
92 259 2
93 264 1
94 259 3
95 269 2
96 274 1
97 280 1
98 284 0
99 67 1
100 13 0
101 151 3
102 157 0
103 161 2
104 166 1
105 169 1
106 126 2
107 76 1
108 70 1
109 73 0
110 79 0
111 131 0
112 132 0
113 172 0
114 173 0
115 9 0
116 8 0
117 13 1
118 28 1
119 86 2
120 91 1
121 121 2
122 73 3
123 16 2
124 1 2
125 25 3
126 79 3
127 133 3
128 141 2
129 146 1
130 151 2
131 58 1
132 131 2
133 174 0
134 16 0
135 17 0
136 156 1
137 176 2
138 283 3
139 289 0
140 64 1
141 146 2
142 171 2
143 193 3
144 199 2
145 204 2
146 209 0
147 295 3
148 41 2
149 7 0
150 36 2
151 46 1
152 50 0
153 109 3
154 163 3
155 49 1
156 55 3
157 6 2
158 61 3
159 103 3
160 157 3
161 163 0
162 169 0
163 223 3
164 85 3
165 5 0
166 43 3
167 49 0
168 61 2
169 91 2
170 96 1
171 40 1
172 81 2
173 6 0
174 97 3
175 105 1
176 108 1
177 111 0
178 116 2
179 121 1
180 187 3
181 247 3
182 253 0
183 241 3
184 247 0
185 248 0
186 254 2
187 259 0
188 264 2
189 15 0
190 55 1
191 235 3
192 205 3
193 211 1
194 229 0
195 271 3
196 277 2
