// The next line is the dfg name
random6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 6 6 3
DIV 11 11 5
SQRT 13 13 6
actual latency 233
0 1 2
1 4 0
2 5 22
3 11 7
4 153 12
5 22 1
6 15 1
7 63 18
8 11 0
9 168 2
10 14 26
11 12 0
12 86 7
13 12 10
14 62 7
15 77 10
16 38 25
17 71 0
18 77 11
19 155 22
20 13 14
21 15 3
22 13 1
23 80 7
24 56 25
25 55 24
26 73 20
27 17 22
28 43 16
29 80 1
30 14 21
31 57 11
32 168 0
33 14 25
34 17 9
35 42 4
36 78 13
37 73 13
38 78 14
39 82 10
40 19 1
41 18 13
42 92 1
43 93 1
44 46 29
45 78 15
46 73 24
47 74 25
48 16 29
49 78 16
50 20 7
51 23 12
52 24 4
53 65 22
54 28 31
55 87 3
56 78 17
57 22 28
58 87 4
59 24 2
60 89 7
61 83 7
62 44 21
63 38 14
64 23 6
65 70 0
66 78 18
67 94 1
68 44 7
69 90 3
70 23 13
71 27 4
72 25 19
73 82 11
74 95 1
75 96 1
76 83 13
77 90 4
78 28 0
79 72 11
80 92 7
81 64 30
82 74 26
83 93 3
84 38 17
85 29 22
86 83 14
87 76 29
88 93 4
89 83 15
90 53 14
91 97 1
92 83 16
93 98 1
94 76 30
95 99 1
96 76 31
97 79 20
98 83 17
99 78 0
100 95 7
101 100 1
102 79 5
103 83 18
104 101 1
105 45 27
106 79 24
107 33 3
108 52 28
109 96 3
110 87 10
111 80 25
112 102 1
113 96 4
114 87 11
115 80 26
116 103 1
117 24 3
118 40 31
119 98 7
120 25 20
121 55 0
122 104 1
123 45 3
124 88 13
125 105 1
126 88 0
127 88 14
128 82 29
129 91 0
130 88 15
131 99 3
132 106 1
133 107 1
134 77 7
135 45 0
136 51 4
137 82 30
138 28 15
139 28 12
140 38 7
141 33 13
142 99 4
143 82 31
144 43 14
145 85 20
146 43 1
147 88 16
148 85 24
149 101 7
150 86 25
151 88 17
152 78 1
153 102 3
154 86 26
155 47 1
156 88 18
157 88 29
158 92 10
159 102 4
160 108 1
161 88 30
162 88 31
163 91 20
164 91 24
165 92 25
166 65 6
167 104 7
168 109 1
169 105 3
170 92 26
171 94 29
172 46 1
173 110 1
174 92 11
175 105 4
176 107 7
177 111 1
178 94 30
179 94 31
180 112 1
181 93 13
182 93 14
183 47 6
184 113 1
185 108 3
186 82 5
187 114 1
188 76 1
189 49 1
190 115 1
191 108 4
192 93 15
193 93 16
194 116 1
195 93 17
196 97 20
197 93 18
198 97 10
199 97 24
200 27 3
201 110 7
202 98 25
203 117 1
204 58 28
205 84 0
206 111 3
207 111 4
208 97 11
209 98 13
210 98 26
211 100 29
212 113 7
213 38 15
214 114 3
215 114 4
216 100 30
217 118 1
218 100 31
219 116 7
220 117 3
221 119 1
222 120 1
223 117 4
224 48 18
225 98 14
226 98 15
227 38 1
228 119 7
229 121 1
230 98 16
231 120 3
232 35 1
233 103 20
234 103 24
235 120 4
236 122 7
237 104 25
238 40 28
239 98 17
240 123 3
241 62 0
242 104 26
243 98 18
244 122 1
245 123 1
246 124 1
247 106 29
248 106 30
249 106 31
250 123 4
251 109 20
252 109 24
253 125 7
254 110 25
255 125 1
256 126 1
257 110 26
258 127 1
259 126 3
260 126 4
261 60 4
262 102 10
263 128 1
264 112 29
265 112 30
266 102 11
267 128 7
268 112 31
269 115 20
270 129 3
271 115 24
272 129 1
273 130 1
274 103 13
275 116 25
276 131 1
277 132 1
278 116 26
279 133 1
280 134 1
281 135 1
282 129 4
283 136 1
284 103 14
285 118 29
286 118 30
287 118 31
288 121 20
289 137 1
290 138 1
291 103 15
292 103 16
293 103 17
294 131 7
295 103 18
296 139 1
297 121 24
298 107 10
299 107 11
300 122 25
301 132 3
302 1 19
303 7 19
304 13 5
305 13 12
306 132 4
307 43 24
308 20 1
309 57 27
310 17 10
311 16 28
312 16 8
313 60 2
314 45 1
315 122 26
316 62 21
317 18 0
318 23 7
319 108 13
320 39 4
321 140 1
322 62 6
323 22 31
324 22 10
325 19 20
326 44 0
327 48 17
328 19 5
329 20 0
330 141 1
331 19 19
332 26 25
333 142 1
334 78 2
335 22 9
336 32 7
337 22 5
338 134 7
339 108 14
340 27 2
341 25 0
342 108 15
343 27 11
344 135 3
345 27 9
346 49 24
347 7 11
348 52 5
349 108 16
350 135 4
351 53 17
352 124 29
353 44 1
354 68 25
355 33 0
356 32 11
357 45 4
358 34 28
359 58 18
360 55 19
361 143 1
362 124 30
363 64 28
364 26 8
365 32 6
366 83 6
367 108 17
368 137 7
369 124 31
370 67 20
371 31 0
372 31 24
373 58 31
374 127 20
375 30 23
376 108 18
377 59 1
378 79 1
379 32 10
380 127 24
381 112 10
382 112 11
383 32 0
384 39 1
385 76 5
386 84 2
387 32 21
