// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 135
0 16 2
1 21 0
2 1 3
3 10 1
4 1 2
5 21 2
6 26 0
7 51 2
8 46 1
9 49 0
10 19 3
11 111 2
12 71 2
13 19 4
14 116 2
15 76 2
16 81 1
17 43 4
18 84 0
19 56 0
20 81 2
21 86 2
22 91 1
23 57 0
24 58 0
25 49 4
26 59 0
27 91 2
28 31 3
29 96 1
30 25 4
31 32 0
32 43 1
33 55 1
34 23 0
35 106 2
36 52 1
37 111 0
38 22 0
39 24 0
40 2 0
41 55 4
42 25 3
43 121 2
44 9 0
45 10 0
46 4 1
47 7 4
48 56 2
49 3 0
50 61 3
51 1 4
52 26 2
53 31 1
54 37 3
55 96 2
56 101 1
57 31 2
58 37 1
59 40 1
60 43 0
61 8 0
62 126 2
63 6 2
64 13 3
65 19 1
66 22 1
67 4 0
68 61 4
69 13 1
70 16 0
71 25 1
72 5 0
73 67 3
74 1 0
75 7 1
76 13 4
77 61 2
78 66 2
79 73 3
80 11 2
81 36 2
82 43 3
83 49 1
84 31 4
85 58 1
86 1 1
87 7 3
88 41 2
89 49 3
90 6 0
91 67 4
92 37 4
93 61 1
94 101 2
95 106 1
96 7 0
97 16 1
98 73 4
99 28 1
100 31 0
101 34 1
102 131 2
103 46 2
104 55 3
105 79 3
