// The next line is the dfg name
write_bmp_header_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 135
0 16 2
1 21 0
2 1 3
3 10 1
4 1 2
5 21 2
6 26 0
7 46 2
8 37 1
9 40 0
10 19 3
11 111 2
12 71 2
13 19 4
14 116 2
15 76 2
16 81 1
17 55 3
18 84 0
19 51 0
20 81 2
21 86 2
22 91 1
23 52 0
24 53 0
25 43 4
26 54 0
27 91 2
28 37 4
29 96 1
30 25 4
31 32 0
32 34 1
33 46 1
34 24 0
35 106 2
36 40 1
37 111 0
38 22 0
39 23 0
40 2 0
41 61 3
42 25 3
43 121 2
44 9 0
45 10 0
46 4 1
47 7 4
48 56 2
49 3 0
50 61 4
51 1 4
52 36 2
53 43 1
54 49 4
55 96 2
56 101 1
57 51 2
58 58 1
59 61 1
60 64 0
61 8 0
62 126 2
63 6 2
64 13 4
65 19 1
66 22 1
67 4 0
68 67 3
69 13 1
70 16 0
71 25 1
72 5 0
73 67 4
74 1 0
75 7 1
76 13 3
77 61 2
78 66 2
79 73 3
80 11 2
81 41 2
82 49 3
83 55 1
84 43 3
85 64 1
86 1 1
87 7 3
88 26 2
89 31 3
90 6 0
91 55 4
92 31 4
93 49 1
94 101 2
95 106 1
96 7 0
97 16 1
98 73 4
99 28 1
100 31 0
101 31 1
102 131 2
103 31 2
104 37 3
105 79 3
