// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 82
0 1 2
1 6 0
2 7 1
3 18 0
4 20 0
5 23 0
6 25 1
7 26 2
8 31 0
9 34 1
10 11 0
11 12 0
12 25 3
13 39 0
14 10 1
15 13 0
16 14 0
17 3 0
18 16 2
19 21 0
20 22 0
21 22 1
22 25 0
23 30 0
24 15 0
25 16 1
26 19 0
27 31 1
28 4 0
29 21 2
30 26 0
31 1 1
32 4 1
33 11 2
34 27 0
35 5 0
36 7 0
37 19 3
38 17 0
39 28 1
40 32 0
41 41 2
42 8 0
43 9 0
44 10 0
45 1 0
46 2 0
47 6 2
48 13 3
49 13 1
50 16 0
51 19 1
52 24 0
53 33 0
54 34 0
55 35 0
56 29 0
57 28 0
58 31 3
59 31 2
60 37 0
61 49 3
62 55 0
63 45 0
64 66 2
65 73 1
66 40 1
67 43 0
68 46 2
69 1 3
70 67 3
71 73 0
72 36 0
73 37 1
74 36 2
75 43 1
76 46 0
77 56 2
78 58 0
79 61 1
80 67 1
81 38 0
82 43 3
83 50 0
84 51 0
85 59 0
86 76 1
87 80 0
88 46 1
89 48 0
90 41 0
91 47 0
92 49 1
93 53 0
94 42 0
95 55 3
96 52 1
97 40 0
98 49 0
99 54 0
100 61 3
101 56 0
102 67 0
103 57 0
104 52 0
105 68 0
106 71 2
107 76 0
108 44 0
109 73 3
110 79 0
111 62 0
112 63 0
113 64 0
114 65 0
115 66 0
116 69 0
117 70 0
118 61 2
119 70 1
120 74 0
121 75 0
122 55 1
123 60 0
124 77 0
125 51 2
126 58 1
127 61 0
128 64 1
129 76 2
130 81 0
131 82 0
132 7 3
133 37 3
