// The next line is the dfg name
random2_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 124
0 1 1
1 2 0
2 2 1
3 3 9
4 3 2
5 3 1
6 12 0
7 3 0
8 4 11
9 4 0
10 12 1
11 4 2
12 12 2
13 5 2
14 8 1
15 10 10
16 13 1
17 17 4
18 6 1
19 5 4
20 46 10
21 5 0
22 5 8
23 5 5
24 6 2
25 7 0
26 13 2
27 9 6
28 9 9
29 6 0
30 7 1
31 7 3
32 10 2
33 20 8
34 19 2
35 14 2
36 16 11
37 16 10
38 16 2
39 14 0
40 14 1
41 8 0
42 17 5
43 22 0
44 4 3
45 11 5
46 40 7
47 51 9
48 7 2
49 78 0
50 48 1
51 40 8
52 28 10
53 48 2
54 23 0
55 41 5
56 8 2
57 14 5
58 46 1
59 25 7
60 43 3
61 44 4
62 10 11
63 25 8
64 22 2
65 23 5
66 49 1
67 38 2
68 44 5
69 44 6
70 49 2
71 23 2
72 46 3
73 50 1
74 19 0
75 21 9
76 50 2
77 52 10
78 27 0
79 51 1
80 51 2
81 45 9
82 52 1
83 16 3
84 52 2
85 53 1
86 16 1
87 53 2
88 16 0
89 52 11
90 54 1
91 54 2
92 28 11
93 55 1
94 41 0
95 55 2
96 47 4
97 56 1
98 47 5
99 27 1
100 17 2
101 49 3
102 45 7
103 56 2
104 19 6
105 57 1
106 57 9
107 57 2
108 58 10
109 58 1
110 11 0
111 58 2
112 59 1
113 50 4
114 58 11
115 59 2
116 63 9
117 10 1
118 60 1
119 45 8
120 50 5
121 52 3
122 42 0
123 34 0
124 60 2
125 61 1
126 43 0
127 53 4
128 53 5
129 55 3
130 61 2
131 35 0
132 62 1
133 62 2
134 40 11
135 63 1
136 63 2
137 56 4
138 56 5
139 44 0
140 30 8
141 49 6
142 18 0
143 50 7
144 64 1
145 64 2
146 50 8
147 58 3
148 17 1
149 17 0
150 65 1
151 54 6
152 55 7
153 65 2
154 15 2
155 66 1
156 55 8
157 66 2
158 67 1
159 20 5
160 59 6
161 67 2
162 68 1
163 68 2
164 69 1
165 69 2
166 70 1
167 60 7
168 70 2
169 71 1
170 35 5
171 71 2
172 72 1
173 72 2
174 29 4
175 64 10
176 64 11
177 28 2
178 69 9
179 60 8
180 73 1
181 73 2
182 70 10
183 64 6
184 74 1
185 65 7
186 59 4
187 74 2
188 75 1
189 59 5
190 61 3
191 75 2
192 76 1
193 76 2
194 77 1
195 77 2
196 78 1
197 78 2
198 79 0
199 79 1
200 65 8
201 79 2
202 80 0
203 62 4
204 69 6
205 1 3
206 4 6
207 11 4
208 9 0
209 4 10
210 80 1
211 10 7
212 80 2
213 81 0
214 19 1
215 15 9
216 15 1
217 18 2
218 15 8
219 4 1
220 22 3
221 81 1
222 35 2
223 45 0
224 62 5
225 25 0
226 25 2
227 25 1
228 81 2
229 82 0
230 82 1
231 26 0
232 26 2
233 26 1
234 27 2
235 64 3
236 27 9
237 28 3
