// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 74
0 46 2
1 4 1
2 5 0
3 7 0
4 51 4
5 57 4
6 63 2
7 6 0
8 1 2
9 1 4
10 10 1
11 26 2
12 31 3
13 68 1
14 1 0
15 2 0
16 71 0
17 3 0
18 1 3
19 1 1
20 7 1
21 10 0
22 13 3
23 71 1
24 11 2
25 21 2
26 74 0
27 7 4
28 41 2
29 16 1
30 46 3
31 52 3
32 58 2
33 68 0
34 13 1
35 19 3
36 69 0
37 4 0
38 6 2
39 13 4
40 19 1
41 25 1
42 28 1
43 31 1
44 34 4
45 51 2
46 19 4
47 31 2
48 36 2
49 7 3
50 16 2
51 22 1
52 41 0
