// The next line is the dfg name
interpolate_aux_dfg__12_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 64
0 41 0
1 11 3
2 39 0
3 42 0
4 45 0
5 48 0
6 11 2
7 35 0
8 25 1
9 37 1
10 40 0
11 43 0
12 19 4
13 36 0
14 37 0
15 38 0
16 40 1
17 44 0
18 46 0
19 49 0
20 52 1
21 28 1
22 12 0
23 1 4
24 25 4
25 55 1
26 60 0
27 20 0
28 15 0
29 19 1
30 22 0
31 23 2
32 31 1
33 6 3
34 6 0
35 1 2
36 7 5
37 31 0
38 34 1
39 10 1
40 7 0
41 7 1
42 10 0
43 13 0
44 19 5
45 43 1
46 46 1
47 56 0
48 25 5
49 47 0
50 16 2
51 50 0
52 58 1
53 61 0
54 21 0
55 17 0
56 18 0
57 23 0
58 26 0
59 28 2
60 5 0
61 1 0
62 2 0
63 6 2
64 13 4
65 24 0
66 14 0
67 9 0
68 11 0
69 16 1
70 19 0
71 25 0
72 27 0
73 30 3
74 61 1
75 49 1
76 51 0
77 52 0
78 53 0
79 57 0
80 64 0
81 4 0
82 1 1
83 3 0
84 4 1
85 7 4
86 31 4
87 29 0
88 1 5
89 28 0
90 30 0
91 32 0
92 33 0
93 8 0
94 1 3
95 13 1
96 16 0
97 17 3
98 34 0
99 35 2
100 54 0
101 58 0
102 55 0
103 13 5
104 22 1
105 25 3
106 59 0
107 62 0
