// The next line is the dfg name
random4_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 7 7 1
MUL 8 8 3
DIV 8 8 5
SQRT 8 8 6
actual latency 82
0 1 1
1 2 23
2 79 4
3 8 4
4 8 0
5 8 17
6 8 8
7 8 5
8 8 2
9 77 1
10 12 5
11 11 0
12 9 9
13 9 1
14 9 23
15 16 4
16 15 11
17 47 1
18 47 2
19 47 3
20 47 4
21 10 4
22 76 2
23 10 1
24 42 12
25 11 5
26 10 3
27 39 14
28 10 6
29 14 21
30 69 12
31 13 16
32 72 2
33 11 10
34 72 3
35 11 3
36 72 4
37 65 8
38 13 7
39 67 15
40 68 16
41 78 2
42 52 4
43 42 4
44 63 23
45 67 28
46 62 0
47 62 1
48 62 2
49 15 30
50 15 24
51 57 12
52 14 22
53 17 5
54 21 1
55 41 4
56 41 5
57 39 30
58 21 3
59 34 22
60 62 10
61 52 7
62 61 4
63 43 3
64 12 9
65 36 26
66 44 5
67 57 5
68 57 24
69 51 12
70 53 17
71 79 2
72 72 7
73 47 15
74 65 10
75 72 5
76 64 21
77 12 25
78 11 2
79 72 6
80 66 9
81 73 2
82 66 11
83 73 3
84 59 21
85 13 18
86 73 4
87 68 17
88 57 6
89 15 5
90 58 1
91 58 2
92 58 3
93 15 4
94 58 4
95 58 5
96 15 23
97 45 1
98 66 6
99 67 2
100 60 11
101 12 2
102 68 6
103 50 2
104 80 6
105 63 9
106 63 17
107 12 1
108 12 0
109 42 1
110 49 20
111 61 29
112 64 7
113 18 12
114 18 4
115 52 3
116 18 18
117 49 21
118 37 4
119 37 3
120 23 4
121 39 23
122 33 30
123 59 22
124 13 6
125 67 3
126 67 4
127 13 5
128 60 12
129 53 5
130 16 1
131 53 6
132 21 23
133 37 15
134 21 11
135 21 4
136 21 12
137 21 5
138 21 6
139 37 5
140 73 5
141 44 20
142 17 10
143 45 13
144 50 3
145 62 3
146 57 30
147 62 4
148 62 5
149 58 16
150 46 0
151 57 1
152 46 7
153 62 6
154 37 6
155 53 18
156 53 10
157 69 5
158 58 6
159 14 6
160 67 5
161 67 6
162 13 19
163 68 0
164 66 5
165 60 13
166 16 3
167 14 20
168 59 0
169 50 4
170 50 5
171 45 14
172 50 6
173 51 1
174 51 2
175 27 5
176 27 15
177 27 11
178 27 6
179 27 0
180 29 6
181 27 12
182 69 6
183 75 5
184 67 1
185 13 28
186 57 13
187 75 6
188 61 6
189 63 3
190 16 2
191 57 2
192 57 14
193 58 17
194 63 4
195 70 0
196 20 10
197 20 1
198 20 3
199 20 4
200 20 5
201 20 6
202 49 7
203 51 3
204 50 8
205 51 4
206 73 6
207 74 0
208 68 18
209 66 12
210 68 19
211 74 1
212 78 6
213 74 2
214 74 3
215 80 5
216 54 2
217 38 0
218 38 1
219 38 2
220 59 1
221 59 2
222 54 13
223 53 3
224 47 0
225 59 3
226 54 9
227 48 13
228 58 7
229 14 10
230 63 5
231 58 18
232 69 9
233 81 0
234 41 6
235 38 10
236 39 9
237 42 5
238 39 11
239 39 12
240 37 29
241 79 1
