// The next line is the dfg name
random4_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 7 7 3
DIV 11 11 5
SQRT 14 14 6
actual latency 123
0 1 9
1 6 24
2 12 6
3 12 5
4 12 0
5 12 24
6 12 9
7 13 1
8 12 4
9 36 5
10 15 19
11 17 9
12 13 25
13 13 0
14 13 26
15 22 8
16 22 14
17 37 8
18 40 2
19 54 10
20 60 0
21 14 10
22 46 1
23 15 3
24 14 12
25 15 5
26 14 0
27 14 16
28 14 17
29 14 29
30 19 18
31 18 21
32 40 7
33 18 11
34 47 1
35 19 1
36 40 8
37 49 12
38 19 16
39 52 20
40 50 29
41 28 8
42 26 0
43 21 1
44 50 30
45 44 33
46 42 6
47 48 1
48 51 1
49 24 22
50 26 28
51 49 16
52 50 31
53 25 8
54 33 3
55 43 7
56 45 3
57 50 32
58 36 1
59 42 24
60 50 33
61 49 17
62 42 1
63 22 2
64 19 10
65 48 21
66 25 2
67 45 4
68 54 21
69 44 16
70 43 27
71 45 5
72 49 18
73 54 22
74 50 19
75 45 6
76 18 22
77 54 23
78 15 4
79 52 14
80 53 15
81 52 1
82 54 24
83 53 1
84 19 26
85 19 25
86 46 2
87 55 25
88 54 1
89 30 1
90 55 1
91 56 1
92 54 12
93 24 12
94 46 7
95 46 8
96 24 21
97 19 8
98 48 4
99 49 2
100 54 16
101 31 1
102 49 7
103 32 1
104 44 12
105 54 17
106 55 26
107 20 1
108 21 5
109 57 1
110 44 31
111 32 32
112 54 18
113 29 12
114 40 13
115 33 1
116 24 23
117 55 27
118 48 6
119 36 0
120 30 4
121 56 28
122 38 32
123 56 29
124 24 0
125 55 13
126 49 8
127 24 4
128 55 19
129 51 4
130 29 0
131 58 1
132 30 21
133 56 30
134 57 9
135 52 2
136 57 14
137 52 7
138 59 1
139 60 1
140 61 0
141 49 25
142 30 23
143 58 11
144 61 1
145 62 0
146 56 31
147 62 1
148 51 6
149 56 32
150 29 16
151 31 2
152 36 23
153 63 0
154 63 1
155 56 33
156 58 15
157 64 0
158 64 1
159 22 7
160 52 8
161 54 3
162 26 29
163 65 0
164 24 6
165 59 10
166 24 5
167 37 27
168 54 4
169 59 12
170 54 5
171 59 16
172 65 1
173 54 6
174 66 0
175 66 1
176 36 22
177 58 20
178 67 0
179 37 14
180 55 2
181 60 21
182 59 17
183 34 0
184 38 0
185 60 22
186 59 18
