// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 2 2 1
MUL 2 2 3
DIV 2 2 5
SQRT 2 2 6
actual latency 68
0 39 1
1 15 1
2 12 1
3 10 1
4 13 2
5 17 1
6 18 0
7 21 4
8 43 6
9 13 3
10 11 0
11 16 5
12 21 0
13 49 3
14 52 1
15 53 0
16 54 0
17 3 0
18 2 1
19 1 6
20 7 0
21 8 0
22 9 0
23 13 6
24 7 7
25 1 7
26 1 1
27 2 0
28 11 4
29 16 0
30 17 0
31 19 6
32 25 6
33 18 1
34 26 4
35 55 6
36 24 1
37 25 1
38 31 4
39 61 2
40 64 0
41 65 0
42 31 5
43 36 5
44 41 1
45 34 1
46 35 1
47 55 3
48 58 0
49 59 0
50 14 1
51 12 0
52 7 2
53 10 0
54 13 0
55 16 2
56 19 3
57 23 1
58 19 1
59 1 3
60 31 7
61 38 2
62 42 0
63 43 0
64 46 4
65 52 2
66 6 5
67 10 2
68 7 3
69 11 1
70 13 1
71 14 0
72 21 5
73 20 0
74 8 1
75 4 1
76 5 0
77 37 6
78 46 5
79 51 0
80 52 3
81 55 0
82 29 1
83 31 2
84 55 2
85 22 3
86 26 0
87 56 4
88 61 1
89 62 1
90 63 0
91 41 5
92 46 3
93 56 0
94 51 4
95 57 0
96 58 1
97 59 1
98 60 0
99 30 1
100 27 0
101 26 5
102 31 1
103 32 3
104 35 0
105 36 0
106 25 3
107 29 0
108 27 1
109 28 1
110 30 0
111 32 1
112 33 0
113 37 0
114 38 0
115 26 1
116 23 0
117 20 1
118 21 1
119 25 2
120 28 0
121 29 3
122 10 3
123 7 1
124 3 1
125 4 2
126 13 7
127 31 6
128 37 3
129 40 0
130 41 2
131 36 1
132 38 1
133 39 0
134 37 1
135 40 1
136 44 0
137 45 0
138 46 2
139 49 0
140 34 0
141 35 2
142 44 1
143 43 7
144 58 3
145 61 3
146 65 1
147 66 2
148 4 3
149 5 1
150 1 2
151 4 0
152 6 0
153 11 5
154 19 7
155 19 0
156 1 4
157 1 0
158 7 6
159 16 4
160 25 7
161 31 0
162 32 0
163 36 4
164 6 4
165 15 0
166 1 5
167 6 1
168 16 1
169 19 2
170 22 0
171 22 1
172 16 3
173 9 1
174 37 7
175 43 1
176 45 1
177 46 1
178 49 2
179 52 0
180 22 2
181 41 4
182 46 0
183 49 6
184 55 1
185 56 1
186 58 2
187 61 0
188 62 0
189 24 0
190 25 0
191 53 7
192 28 2
193 33 1
194 41 0
195 59 5
196 64 1
