// The next line is the dfg name
smooth_color_z_triangle_dfg__31_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 153
0 76 2
1 3 0
2 13 1
3 4 1
4 11 2
5 19 1
6 31 1
7 49 4
8 19 5
9 1 3
10 7 1
11 13 4
12 22 1
13 31 3
14 52 1
15 64 1
16 79 1
17 2 0
18 1 0
19 1 5
20 10 1
21 13 0
22 14 0
23 25 4
24 7 4
25 1 4
26 1 1
27 4 0
28 7 5
29 16 2
30 21 2
31 49 5
32 73 4
33 41 3
34 73 5
35 91 5
36 15 0
37 16 0
38 97 4
39 127 4
40 133 2
41 145 4
42 103 5
43 133 4
44 139 1
45 21 0
46 121 1
47 128 2
48 142 1
49 148 1
50 43 1
51 26 2
52 11 3
53 34 1
54 37 0
55 51 2
56 56 3
57 12 0
58 49 1
59 16 3
60 43 5
61 56 2
62 61 0
63 62 0
64 97 5
65 103 3
66 61 5
67 46 2
68 26 3
69 46 3
70 67 1
71 70 0
72 85 4
73 10 0
74 37 1
75 25 1
76 40 1
77 55 4
78 79 4
79 88 1
80 91 3
81 96 0
82 18 0
83 71 3
84 108 3
85 66 3
86 71 0
87 133 5
88 139 0
89 145 1
90 151 1
91 115 4
92 123 2
93 128 1
94 115 5
95 123 3
96 131 1
97 134 1
98 137 0
99 82 1
100 11 0
101 61 4
102 67 0
103 71 2
104 94 1
105 112 1
106 61 3
107 97 1
108 91 1
109 94 0
110 100 0
111 101 0
112 102 0
113 115 0
114 116 0
115 9 0
116 7 0
117 16 1
118 28 1
119 36 3
120 61 1
121 66 2
122 25 5
123 6 2
124 1 2
125 13 5
126 31 4
127 55 5
128 61 2
129 85 1
130 88 2
131 100 1
132 103 2
133 117 0
134 19 0
135 20 0
136 115 1
137 118 2
138 139 5
139 145 0
140 103 1
141 108 2
142 113 3
143 103 4
144 113 2
145 118 3
146 123 0
147 145 5
148 41 2
149 8 0
150 21 3
151 46 1
152 49 0
153 67 5
154 85 5
155 70 1
156 37 4
157 6 3
158 37 5
159 67 4
160 79 5
161 85 0
162 91 0
163 121 4
164 31 5
165 5 0
166 19 4
167 25 0
168 31 2
169 51 3
170 76 1
171 55 1
172 36 2
173 6 0
174 43 4
175 58 1
176 73 1
177 76 0
178 79 3
179 106 1
180 91 4
181 121 5
182 127 0
183 109 5
184 118 0
185 119 0
186 128 3
187 133 0
188 134 3
189 17 0
190 109 1
191 127 5
192 109 4
193 118 1
194 128 0
195 139 4
196 145 2
