// The next line is the dfg name
collapse_pyr_dfg__113_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 35
0 1 0
1 11 2
2 16 1
3 21 0
4 23 0
5 2 0
6 3 0
7 12 0
8 14 0
9 22 1
10 25 0
11 27 0
12 1 3
13 7 0
14 8 0
15 10 1
16 16 2
17 26 2
18 1 1
19 4 0
20 6 2
21 21 2
22 26 0
23 28 0
24 13 0
25 4 1
26 9 0
27 10 0
28 19 3
29 25 1
30 29 0
31 5 0
32 11 0
33 25 3
34 31 0
35 32 0
36 33 0
37 1 2
38 7 3
39 15 0
40 17 0
41 18 0
42 28 1
43 34 0
44 6 0
45 13 1
46 16 0
47 19 1
48 22 0
49 31 2
50 7 1
51 13 3
52 19 0
53 20 0
54 31 1
55 35 0
