// The next line is the dfg name
feedback_points_dfg__7_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 65
0 1 2
1 1 1
2 1 0
3 4 0
4 7 3
5 19 4
6 36 2
7 2 0
8 11 2
9 1 3
10 16 1
11 21 2
12 31 4
13 41 1
14 6 0
15 7 0
16 44 0
17 3 0
18 1 4
19 7 1
20 10 1
21 13 0
22 37 3
23 44 1
24 26 2
25 51 2
26 56 0
27 13 3
28 6 2
29 4 1
30 13 4
31 25 4
32 46 2
33 51 0
34 19 1
35 37 4
36 52 0
37 5 0
38 16 2
39 7 4
40 22 1
41 25 1
42 28 1
43 13 1
44 31 3
45 61 2
46 19 3
47 31 2
48 56 2
49 25 3
50 41 2
51 47 1
52 61 0
