// The next line is the dfg name
interpolate_aux_dfg__12_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 84
0 11 0
1 25 5
2 5 0
3 49 1
4 64 1
5 67 0
6 25 4
7 2 0
8 11 3
9 21 2
10 31 0
11 36 3
12 19 5
13 3 0
14 13 1
15 31 1
16 36 2
17 61 1
18 64 0
19 65 0
20 68 3
21 31 3
22 6 0
23 31 4
24 43 5
25 54 3
26 73 3
27 9 0
28 7 0
29 21 3
30 26 0
31 55 5
32 61 2
33 13 5
34 6 2
35 1 4
36 19 4
37 43 1
38 46 2
39 16 2
40 7 1
41 6 3
42 16 1
43 34 1
44 37 5
45 51 2
46 56 2
47 66 0
48 61 4
49 12 0
50 43 4
51 49 3
52 67 2
53 76 1
54 4 0
55 37 1
56 40 1
57 43 0
58 44 0
59 49 4
60 1 0
61 1 2
62 1 1
63 7 4
64 13 4
65 25 1
66 10 1
67 1 3
68 4 1
69 11 2
70 19 1
71 22 0
72 46 1
73 49 5
74 67 5
75 26 3
76 52 1
77 55 1
78 67 1
79 72 2
80 79 4
81 8 0
82 16 3
83 28 1
84 31 2
85 55 4
86 73 4
87 10 0
88 31 5
89 26 2
90 37 0
91 38 0
92 39 0
93 22 1
94 1 5
95 7 5
96 13 0
97 37 4
98 58 1
99 67 4
100 73 1
101 79 1
102 70 1
103 61 5
104 41 2
105 73 5
106 79 0
107 82 0
