// The next line is the dfg name
jpeg_fdct_islow_dfg__6_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 81
0 1 2
1 8 0
2 10 1
3 13 0
4 18 0
5 22 0
6 28 1
7 26 2
8 31 0
9 34 1
10 9 0
11 14 0
12 19 3
13 37 0
14 7 1
15 10 0
16 15 0
17 2 0
18 6 2
19 16 0
20 19 0
21 16 1
22 24 0
23 27 0
24 20 0
25 22 1
26 28 0
27 37 1
28 3 0
29 11 2
30 17 0
31 1 1
32 4 1
33 21 2
34 26 0
35 6 0
36 11 0
37 13 3
38 21 0
39 25 1
40 29 0
41 36 2
42 5 0
43 7 0
44 12 0
45 1 0
46 4 0
47 16 2
48 25 3
49 13 1
50 23 0
51 31 1
52 25 0
53 30 0
54 32 0
55 34 0
56 35 0
57 33 0
58 31 3
59 31 2
60 39 0
61 55 3
62 62 0
63 48 0
64 61 2
65 73 1
66 55 1
67 58 0
68 76 2
69 1 3
70 7 3
71 81 0
72 36 0
73 40 1
74 41 2
75 52 1
76 55 0
77 66 2
78 51 0
79 61 1
80 76 1
81 44 0
82 61 3
83 67 0
84 69 0
85 57 0
86 67 1
87 73 0
88 43 1
89 42 0
90 40 0
91 41 0
92 49 1
93 52 0
94 45 0
95 49 3
96 46 1
97 38 0
98 46 0
99 43 0
100 43 3
101 47 0
102 53 0
103 54 0
104 49 0
105 56 0
106 71 2
107 76 0
108 50 0
109 67 3
110 77 0
111 59 0
112 60 0
113 63 0
114 65 0
115 64 0
116 66 0
117 74 0
118 56 2
119 64 1
120 68 0
121 70 0
122 19 1
123 71 0
124 75 0
125 51 2
126 58 1
127 61 0
128 70 1
129 46 2
130 72 0
131 78 0
132 37 3
133 73 3
