// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 86
0 1 2
1 6 0
2 11 2
3 19 4
4 1 0
5 7 5
6 16 2
7 21 0
8 25 5
9 31 0
10 34 1
11 41 2
12 2 0
13 4 1
14 31 4
15 37 1
16 13 1
17 16 3
18 36 2
19 41 3
20 4 0
21 5 0
22 7 0
23 55 5
24 62 0
25 16 1
26 28 1
27 46 1
28 61 4
29 73 5
30 31 2
31 52 1
32 67 4
33 73 2
34 79 0
35 56 2
36 79 4
37 85 0
38 86 0
39 1 1
40 19 5
41 25 1
42 28 0
43 7 1
44 10 1
45 13 0
46 22 1
47 43 4
48 3 0
49 6 2
50 37 4
51 46 0
52 51 2
53 8 0
54 9 0
55 46 2
56 51 0
57 73 4
58 46 3
59 67 5
60 74 0
61 79 1
62 1 4
63 7 4
64 13 5
65 26 2
66 1 5
67 11 3
68 16 0
69 26 3
70 31 3
71 19 1
72 22 0
73 43 1
74 49 1
75 55 1
76 25 4
77 31 1
78 40 1
79 49 5
80 61 2
81 21 3
82 36 3
83 56 3
84 79 5
85 1 3
86 6 3
87 55 4
88 61 0
89 49 4
90 55 0
91 58 1
92 61 1
93 64 1
94 13 4
95 21 2
96 37 5
97 61 5
98 67 0
99 31 5
100 43 5
101 51 3
102 67 1
103 73 1
104 10 0
105 70 1
106 73 0
107 76 3
108 76 1
