// The next line is the dfg name
idctcol_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 1 1 6
actual latency 179
0 3 0
1 25 3
2 31 3
3 37 0
4 46 2
5 4 1
6 8 0
7 10 1
8 13 3
9 19 1
10 22 0
11 1 1
12 16 1
13 22 1
14 11 2
15 25 1
16 31 2
17 21 2
18 41 2
19 49 3
20 7 1
21 36 2
22 41 1
23 55 3
24 51 0
25 19 3
26 26 2
27 31 0
28 16 2
29 37 3
30 43 3
31 4 0
32 67 3
33 81 2
34 76 2
35 56 2
36 115 3
37 44 1
38 97 3
39 91 2
40 52 1
41 52 0
42 61 2
43 66 2
44 73 3
45 79 1
46 61 3
47 67 0
48 68 1
49 71 2
50 106 1
51 109 0
52 114 2
53 119 1
54 122 0
55 51 2
56 56 1
57 163 3
58 86 2
59 91 3
60 98 0
61 100 1
62 103 0
63 7 3
64 13 1
65 104 0
66 76 0
67 79 3
68 85 1
69 91 1
70 94 1
71 1 2
72 6 0
73 97 0
74 121 3
75 127 3
76 133 3
77 139 2
78 144 0
79 151 3
80 157 3
81 163 1
82 121 2
83 126 2
84 139 3
85 145 1
86 148 2
87 2 0
88 96 2
89 153 2
90 85 3
91 103 1
92 109 3
93 115 1
94 118 0
95 1 0
96 6 2
97 119 0
98 86 0
99 88 1
100 91 0
101 92 0
102 97 1
103 1 3
104 7 0
105 100 0
106 103 3
107 109 2
108 114 0
109 145 3
110 158 2
111 28 1
112 169 3
113 175 2
