// The next line is the dfg name
interpolate_aux_dfg__12_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 96
0 6 0
1 25 5
2 5 0
3 31 1
4 34 1
5 37 0
6 1 5
7 4 0
8 1 3
9 6 2
10 11 0
11 16 2
12 13 5
13 3 0
14 4 1
15 7 1
16 21 2
17 28 1
18 31 0
19 32 0
20 41 2
21 36 2
22 18 0
23 49 5
24 55 4
25 65 3
26 70 2
27 10 0
28 2 0
29 11 2
30 16 0
31 25 4
32 31 2
33 31 5
34 16 3
35 37 4
36 43 4
37 49 1
38 52 2
39 21 3
40 10 1
41 11 3
42 16 1
43 40 1
44 43 5
45 57 2
46 62 2
47 67 0
48 49 4
49 14 0
50 37 5
51 43 3
52 55 3
53 70 1
54 15 0
55 19 1
56 22 1
57 26 0
58 27 0
59 55 5
60 17 0
61 31 3
62 58 1
63 61 4
64 67 4
65 73 1
66 46 1
67 26 2
68 43 1
69 46 2
70 52 1
71 55 0
72 76 1
73 79 4
74 85 4
75 36 3
76 61 1
77 64 1
78 67 1
79 70 3
80 91 4
81 12 0
82 26 3
83 55 1
84 60 3
85 65 5
86 71 5
87 1 0
88 1 4
89 1 2
90 7 0
91 8 0
92 9 0
93 13 1
94 7 4
95 7 5
96 13 0
97 19 5
98 25 1
99 31 4
100 37 1
101 79 1
102 1 1
103 13 4
104 6 3
105 19 4
106 25 0
107 82 0
