// The next line is the dfg name
invert_matrix_general_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 2 2 3
DIV 4 4 5
SQRT 6 6 6
actual latency 150
0 66 6
1 1 0
2 2 0
3 4 0
4 72 0
5 73 6
6 39 0
7 40 10
8 46 3
9 73 1
10 76 1
11 115 2
12 118 7
13 124 9
14 130 7
15 136 7
16 88 2
17 91 8
18 98 0
19 99 4
20 104 4
21 7 8
22 16 4
23 21 5
24 26 0
25 1 11
26 37 2
27 40 0
28 41 11
29 51 3
30 1 7
31 8 0
32 12 0
33 19 0
34 58 1
35 61 3
36 71 0
37 66 5
38 71 10
39 77 3
40 36 6
41 41 5
42 46 9
43 56 6
44 36 4
45 41 3
46 46 5
47 51 5
48 64 2
49 76 2
50 79 4
51 84 0
52 85 6
53 94 2
54 97 7
55 22 1
56 27 0
57 103 5
58 13 9
59 64 1
60 67 9
61 73 5
62 43 2
63 49 1
64 56 4
65 61 2
66 78 7
67 46 1
68 51 4
69 56 3
70 61 1
71 85 1
72 88 1
73 91 7
74 25 11
75 31 7
76 97 0
77 6 5
78 22 0
79 34 0
80 52 0
81 31 8
82 37 8
83 109 1
84 112 11
85 118 2
86 79 2
87 94 1
88 100 2
89 112 2
90 121 4
91 126 3
92 58 0
93 59 12
94 131 9
95 42 0
96 82 2
97 85 5
98 1 12
99 43 1
100 46 0
101 90 4
102 11 4
103 52 2
104 56 0
105 7 12
106 13 8
107 41 0
108 57 11
109 95 9
110 19 12
111 25 10
112 97 2
113 13 12
114 26 6
115 57 0
116 100 8
117 45 0
118 46 4
119 51 0
120 55 2
121 79 1
122 91 2
123 99 0
124 106 7
125 73 2
126 76 9
127 84 4
128 35 0
129 48 0
130 49 11
131 91 1
132 7 10
133 16 6
134 21 6
135 31 0
136 37 0
137 67 2
138 70 2
139 94 0
140 7 11
141 26 5
142 58 2
143 32 0
144 38 0
145 50 0
146 61 9
147 7 9
148 16 5
149 25 9
150 55 1
151 58 8
152 64 7
153 73 0
154 74 8
155 25 1
156 29 0
157 31 4
158 17 0
159 21 0
160 34 1
161 37 7
162 9 0
163 10 2
164 13 0
165 6 4
166 11 3
167 19 7
168 25 0
169 43 0
170 30 0
171 40 2
172 46 2
173 33 0
174 49 2
175 56 5
176 61 4
177 6 6
178 28 1
179 31 2
180 24 0
181 26 3
182 34 2
183 37 1
184 66 0
185 41 6
186 46 10
187 52 8
188 61 5
189 11 5
190 19 10
191 40 1
192 82 1
193 85 2
194 28 2
195 31 3
196 36 0
197 96 0
198 97 1
199 100 3
200 13 11
201 20 0
202 105 3
203 1 9
204 25 2
205 31 1
206 44 8
207 7 2
208 13 2
209 16 1
210 67 1
211 70 0
212 19 1
213 23 0
214 25 7
215 113 0
216 114 4
217 120 0
218 121 3
219 16 2
220 19 2
221 126 1
222 53 0
223 66 3
224 71 4
225 82 3
226 25 12
227 31 6
228 36 3
229 71 3
230 87 3
231 31 5
232 54 0
233 55 9
234 101 9
235 107 6
236 112 7
237 1 3
238 6 0
239 119 0
240 36 5
241 41 4
242 109 2
243 112 10
244 46 6
245 112 1
246 115 8
247 121 8
248 127 8
249 47 0
250 51 6
251 56 7
252 101 0
253 133 8
254 139 8
255 145 1
256 66 4
257 71 7
258 148 1
259 1 6
260 18 0
261 19 8
262 44 7
263 1 8
264 7 7
265 13 1
266 80 5
267 85 0
268 1 2
269 5 0
270 14 0
271 95 3
272 100 1
273 103 1
274 106 1
275 3 0
276 6 3
277 109 0
278 1 4
279 7 0
280 10 1
281 44 0
282 4 2
283 10 0
284 13 7
285 67 0
286 70 1
287 15 0
288 16 3
289 21 3
290 112 0
291 115 1
292 118 1
293 1 1
294 4 1
295 121 0
296 49 0
297 50 7
298 56 10
299 80 6
300 52 1
301 55 0
302 61 6
303 67 8
304 85 7
305 13 10
306 19 9
307 25 8
308 103 2
309 106 0
310 107 8
311 113 3
312 1 5
313 7 1
314 118 0
315 11 0
316 16 0
317 21 4
318 95 0
319 11 6
320 19 11
321 26 4
322 112 9
323 122 0
324 1 10
325 22 2
326 28 0
327 106 2
328 123 0
329 124 7
330 31 9
331 37 9
332 130 4
