// The next line is the dfg name
matmul_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 86
0 1 2
1 6 0
2 11 2
3 19 4
4 1 0
5 7 4
6 16 2
7 21 0
8 13 4
9 19 0
10 22 1
11 26 3
12 2 0
13 7 1
14 31 5
15 37 1
16 10 1
17 16 3
18 36 2
19 51 2
20 4 0
21 5 0
22 8 0
23 55 5
24 61 0
25 19 1
26 34 1
27 49 1
28 61 5
29 73 5
30 21 3
31 55 1
32 67 4
33 73 2
34 79 0
35 51 3
36 79 4
37 85 0
38 86 0
39 1 1
40 19 5
41 25 1
42 28 0
43 4 1
44 13 1
45 17 0
46 28 1
47 49 4
48 3 0
49 6 2
50 43 4
51 49 0
52 56 2
53 7 0
54 9 0
55 41 3
56 46 0
57 73 4
58 46 3
59 67 5
60 74 0
61 79 1
62 1 4
63 7 5
64 25 4
65 31 2
66 1 5
67 11 3
68 16 0
69 26 2
70 36 3
71 16 1
72 20 0
73 40 1
74 52 1
75 61 1
76 25 5
77 31 1
78 43 1
79 55 4
80 64 2
81 31 3
82 41 2
83 56 3
84 79 5
85 1 3
86 6 3
87 49 5
88 55 0
89 37 4
90 43 0
91 46 1
92 58 1
93 64 1
94 13 5
95 21 2
96 43 5
97 61 4
98 67 0
99 31 4
100 37 5
101 46 2
102 67 1
103 73 1
104 10 0
105 70 1
106 73 0
107 76 3
108 76 1
