// The next line is the dfg name
collapse_pyr_dfg__113_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 3 3 6
actual latency 45
0 1 0
1 2 6
2 13 5
3 22 1
4 31 1
5 1 3
6 1 1
7 4 1
8 8 0
9 19 4
10 25 1
11 34 1
12 1 4
13 11 2
14 16 1
15 21 2
16 26 5
17 32 3
18 1 2
19 6 0
20 8 6
21 14 6
22 26 2
23 37 1
24 6 3
25 6 2
26 11 0
27 12 0
28 19 5
29 28 1
30 33 0
31 7 0
32 16 3
33 25 4
34 31 0
35 32 0
36 34 0
37 1 5
38 7 4
39 16 2
40 21 3
41 11 1
42 26 3
43 40 1
44 7 1
45 11 3
46 16 0
47 20 6
48 26 0
49 43 1
50 7 5
51 13 4
52 19 1
53 22 0
54 31 2
55 36 0
