// The next line is the dfg name
h2v2_smooth_downsample_dfg__6_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 1 1 5
SQRT 2 2 6
actual latency 79
0 51 2
1 21 2
2 26 2
3 56 3
4 13 1
5 62 3
6 1 2
7 6 0
8 68 1
9 5 0
10 1 3
11 11 2
12 16 1
13 7 4
14 19 1
15 10 1
16 13 4
17 25 3
18 6 2
19 13 3
20 31 3
21 1 1
22 4 0
23 37 3
24 4 1
25 16 2
26 46 2
27 1 4
28 7 1
29 51 1
30 54 1
31 19 4
32 28 1
33 2 0
34 7 0
35 31 2
36 19 3
37 25 1
38 36 2
39 3 0
40 7 3
41 41 2
42 57 1
43 71 2
44 60 0
45 76 0
46 77 0
47 78 0
48 79 0
49 1 0
50 56 2
