// The next line is the dfg name
idctcol_dfg__3_4type_uniform
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 1 1 1
MUL 1 1 3
DIV 2 2 5
SQRT 2 2 6
actual latency 91
0 1 0
1 7 4
2 13 4
3 19 0
4 21 2
5 1 1
6 4 0
7 10 1
8 1 5
9 16 1
10 20 0
11 13 1
12 19 1
13 22 1
14 1 2
15 7 1
16 11 2
17 1 3
18 16 2
19 25 4
20 4 1
21 16 3
22 25 1
23 31 4
24 26 0
25 1 4
26 11 3
27 16 0
28 6 2
29 19 5
30 25 5
31 2 0
32 19 4
33 26 2
34 31 3
35 31 2
36 31 5
37 28 1
38 37 5
39 41 2
40 31 1
41 31 0
42 36 2
43 41 3
44 49 5
45 55 1
46 37 4
47 43 0
48 46 1
49 51 2
50 43 1
51 46 0
52 47 3
53 52 1
54 55 0
55 6 3
56 37 1
57 85 4
58 58 3
59 73 5
60 79 0
61 82 1
62 85 0
63 13 5
64 40 1
65 87 0
66 56 0
67 67 4
68 73 1
69 76 1
70 79 1
71 26 3
72 32 0
73 82 0
74 49 4
75 55 4
76 73 4
77 83 2
78 88 0
79 7 5
80 55 5
81 89 1
82 46 2
83 52 3
84 61 5
85 70 1
86 73 2
87 3 0
88 21 3
89 78 2
90 61 4
91 67 1
92 79 4
93 85 1
94 89 0
95 5 0
96 36 3
97 90 0
98 58 0
99 59 1
100 62 0
101 63 0
102 64 1
103 79 5
104 86 0
105 91 0
106 43 4
107 56 2
108 61 0
109 67 5
110 73 3
111 34 1
112 43 5
113 78 3
