// The next line is the dfg name
invert_matrix_general_dfg__3_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 69
0 37 3
1 45 2
2 49 1
3 50 1
4 53 1
5 59 2
6 33 2
7 46 8
8 52 4
9 57 2
10 60 2
11 21 1
12 25 4
13 31 8
14 61 9
15 67 3
16 34 1
17 51 6
18 56 2
19 58 5
20 62 1
21 31 5
22 34 0
23 37 5
24 40 2
25 25 11
26 31 0
27 32 0
28 36 8
29 46 5
30 49 11
31 55 2
32 56 1
33 57 0
34 58 0
35 59 0
36 60 0
37 46 3
38 56 7
39 62 2
40 19 0
41 22 3
42 37 11
43 43 0
44 10 5
45 22 4
46 28 4
47 34 4
48 44 0
49 28 1
50 30 1
51 34 2
52 38 0
53 45 0
54 56 6
55 47 2
56 49 2
57 61 4
58 11 6
59 16 1
60 19 10
61 28 5
62 24 1
63 25 0
64 26 0
65 27 0
66 36 6
67 30 2
68 35 0
69 38 1
70 39 1
71 41 0
72 42 1
73 56 8
74 41 7
75 61 11
76 67 0
77 25 3
78 28 0
79 29 0
80 30 0
81 1 11
82 7 11
83 22 1
84 26 7
85 31 2
86 25 1
87 26 1
88 28 2
89 32 1
90 40 3
91 46 4
92 32 2
93 55 9
94 61 8
95 5 1
96 9 0
97 10 3
98 11 7
99 17 0
100 18 0
101 19 3
102 1 3
103 5 2
104 9 1
105 1 7
106 6 8
107 11 0
108 13 9
109 37 10
110 1 9
111 7 9
112 13 0
113 1 6
114 6 0
115 7 0
116 19 9
117 1 0
118 4 3
119 7 1
120 2 0
121 3 0
122 4 0
123 8 0
124 26 6
125 1 1
126 6 6
127 13 3
128 1 2
129 2 1
130 7 10
131 16 0
132 1 10
133 7 3
134 10 0
135 3 1
136 6 1
137 9 2
138 12 2
139 17 1
140 6 7
141 13 4
142 16 2
143 6 2
144 10 1
145 14 0
146 21 6
147 1 8
148 7 4
149 13 10
150 2 2
151 4 4
152 13 11
153 22 2
154 28 3
155 15 0
156 20 0
157 21 0
158 18 1
159 19 2
160 20 2
161 31 11
162 23 1
163 24 2
164 25 2
165 14 2
166 16 3
167 21 7
168 26 2
169 37 1
170 5 0
171 8 2
172 12 1
173 4 2
174 8 1
175 12 0
176 13 5
177 11 2
178 14 1
179 17 2
180 3 2
181 4 5
182 15 2
183 19 1
184 20 1
185 15 1
186 25 9
187 43 11
188 49 3
189 31 3
190 36 7
191 41 1
192 42 2
193 52 1
194 35 1
195 40 4
196 43 2
197 45 1
198 53 0
199 54 0
200 55 11
201 61 1
202 62 5
203 16 7
204 27 1
205 29 1
206 41 8
207 35 2
208 38 2
209 39 2
210 41 2
211 46 1
212 33 0
213 36 0
214 40 5
215 44 1
216 47 0
217 48 0
218 55 4
219 50 2
220 53 2
221 63 1
222 22 0
223 25 5
224 34 3
225 37 2
226 16 4
227 22 5
228 31 4
229 34 5
230 43 3
231 19 4
232 23 0
233 26 8
234 46 7
235 52 3
236 55 5
237 51 1
238 54 1
239 63 2
240 1 5
241 11 1
242 13 2
243 19 11
244 1 4
245 4 1
246 7 5
247 31 9
248 43 9
249 21 2
250 24 0
251 31 6
252 43 1
253 51 7
254 58 4
255 61 2
256 44 2
257 61 7
258 66 1
259 19 5
260 23 2
261 31 7
262 55 10
263 25 10
264 49 9
265 55 0
266 58 3
267 61 0
268 39 0
269 40 0
270 42 0
271 49 4
272 62 0
273 63 0
274 64 0
275 48 1
276 61 3
277 65 0
278 43 4
279 46 2
280 47 1
281 48 2
282 33 1
283 36 1
284 51 8
285 57 1
286 58 1
287 36 2
288 43 5
289 49 5
290 52 2
291 59 1
292 60 1
293 51 2
294 54 2
295 64 1
296 7 2
297 11 8
298 16 8
299 31 1
300 10 2
301 13 1
302 16 5
303 37 9
304 46 6
305 10 4
306 16 6
307 49 10
308 55 1
309 56 0
310 61 6
311 66 0
312 52 5
313 58 2
314 67 1
315 27 2
316 29 2
317 37 4
318 40 1
319 18 2
320 31 10
321 37 0
322 41 6
323 46 0
324 43 10
325 49 0
326 50 0
327 51 0
328 52 0
329 55 3
330 21 8
331 61 10
332 67 4
