// The next line is the dfg name
write_bmp_header_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 24
0 1 3
1 4 0
2 1 6
3 6 0
4 1 1
5 2 0
6 7 0
7 8 0
8 13 2
9 17 1
10 1 8
11 17 2
12 10 3
13 1 7
14 13 10
15 12 2
16 14 0
17 7 5
18 18 0
19 9 0
20 11 6
21 4 5
22 16 6
23 13 0
24 14 1
25 1 11
26 18 1
27 10 4
28 10 5
29 18 2
30 6 8
31 14 2
32 15 0
33 19 0
34 7 2
35 13 4
36 15 1
37 19 1
38 8 1
39 9 2
40 10 1
41 16 5
42 1 10
43 19 3
44 15 2
45 19 2
46 2 2
47 4 4
48 7 1
49 5 1
50 11 8
51 1 9
52 7 3
53 10 0
54 13 5
55 16 4
56 20 0
57 8 2
58 10 2
59 13 1
60 16 0
61 16 1
62 20 1
63 1 4
64 6 6
65 11 0
66 12 0
67 5 2
68 16 7
69 3 1
70 4 1
71 5 0
72 3 2
73 13 11
74 2 1
75 3 0
76 6 7
77 11 1
78 7 4
79 19 4
80 1 2
81 4 3
82 7 11
83 16 2
84 11 7
85 20 2
86 1 0
87 7 9
88 13 3
89 16 3
90 4 2
91 19 9
92 13 9
93 21 0
94 17 0
95 21 1
96 6 1
97 6 2
98 16 8
99 9 1
100 11 2
101 12 1
102 19 5
103 1 5
104 7 10
105 19 10
