// The next line is the dfg name
write_bmp_header_dfg__7_4type_invdelay
// The next lines are FU parameters given as:
// <FU type>  <resource constraint>  <# of FUs used>  <FU delay>
ADD 3 3 1
MUL 3 3 3
DIV 3 3 5
SQRT 3 3 6
actual latency 24
0 1 4
1 4 0
2 1 6
3 6 0
4 1 1
5 2 0
6 7 0
7 8 0
8 14 2
9 18 0
10 1 8
11 18 1
12 10 3
13 1 7
14 13 10
15 9 1
16 12 2
17 19 3
18 22 0
19 9 0
20 11 6
21 4 4
22 16 6
23 9 2
24 13 2
25 13 9
26 19 0
27 7 5
28 19 4
29 22 1
30 6 8
31 14 1
32 16 0
33 17 2
34 7 1
35 10 4
36 16 1
37 18 2
38 7 2
39 8 1
40 12 1
41 16 4
42 1 10
43 10 5
44 15 1
45 19 1
46 5 0
47 7 3
48 10 0
49 6 1
50 11 7
51 1 9
52 7 4
53 10 1
54 13 4
55 16 5
56 19 2
57 13 0
58 14 0
59 15 0
60 16 2
61 17 0
62 20 0
63 1 5
64 6 6
65 11 0
66 12 0
67 6 2
68 16 7
69 2 1
70 3 0
71 4 2
72 3 1
73 19 9
74 2 2
75 4 1
76 6 7
77 11 1
78 4 5
79 13 5
80 1 2
81 4 3
82 7 11
83 13 1
84 11 8
85 17 1
86 1 0
87 7 9
88 13 3
89 16 3
90 3 2
91 19 10
92 1 11
93 20 1
94 15 2
95 20 2
96 5 1
97 5 2
98 16 8
99 8 2
100 10 2
101 11 2
102 19 5
103 1 3
104 7 10
105 13 11
